# q_A^-1 I sigma_shared_background
5.000000000000000104e-03 5.381637552058565532e+00 3.842084282810102724e+00
6.000000000000000125e-03 6.084180173367380817e+00 1.752311386720070585e+00
7.000000000000000146e-03 5.683674993017746147e+00 8.529094190034161027e-01
8.000000000000000167e-03 5.298144231759564171e+00 4.619704270140087554e-01
9.000000000000001055e-03 5.238768613792463391e+00 2.925969092570893104e-01
1.000000000000000021e-02 5.115946133358264980e+00 2.122003314800519069e-01
1.099999999999999936e-02 5.050661387091058607e+00 1.645032332484196724e-01
1.200000000000000025e-02 4.976858200770658769e+00 1.339211928230285287e-01
1.300000000000000114e-02 4.832276468576174544e+00 1.114224094219364025e-01
1.400000000000000203e-02 4.795138175203722319e+00 9.587421878644654394e-02
1.499999999999999944e-02 4.730335334131023473e+00 8.223165728420560316e-02
1.600000000000000033e-02 4.746012576363574986e+00 7.184153176989398204e-02
1.700000000000000122e-02 4.720793903658869084e+00 6.414024507718643631e-02
1.800000000000000211e-02 4.637567006633077860e+00 5.888428033854806176e-02
1.899999999999999953e-02 4.473728782436277918e+00 5.408105645428711028e-02
2.000000000000000042e-02 4.484994258767428299e+00 4.912268993999451688e-02
2.100000000000000130e-02 4.386192111884891887e+00 4.649798206412199958e-02
2.200000000000000219e-02 4.371557822342891697e+00 4.371787010281463076e-02
2.300000000000000308e-02 4.283558550798762354e+00 4.107180679070573243e-02
2.400000000000000050e-02 4.281216880372467948e+00 3.894611294429493192e-02
2.500000000000000139e-02 4.113312865982535094e+00 3.695814404307046913e-02
2.600000000000000228e-02 4.014173999513868552e+00 3.548845786046699730e-02
2.699999999999999969e-02 3.997526964882438527e+00 3.400342007120324417e-02
2.800000000000000058e-02 3.971196354377696913e+00 3.207698719032520823e-02
2.900000000000000147e-02 3.804690357500322140e+00 3.146474152292216137e-02
3.000000000000000236e-02 3.772326624595925271e+00 3.057600961806895140e-02
3.100000000000000325e-02 3.685931227113277586e+00 2.962199212236823337e-02
3.200000000000000067e-02 3.591929304840124182e+00 2.812371313049417607e-02
3.300000000000000155e-02 3.534555746813236254e+00 2.778110233517325223e-02
3.400000000000000244e-02 3.456197193000583479e+00 2.695633603803612374e-02
3.499999999999999639e-02 3.405793313234014796e+00 2.632155293113124309e-02
3.599999999999999728e-02 3.320952985395476897e+00 2.597259120164118959e-02
3.699999999999999817e-02 3.268520837272674395e+00 2.501474695882606111e-02
3.799999999999999906e-02 3.195069815406032632e+00 2.463980066669926861e-02
