# q_A^-1 I sigma_shared_background
5.000000000000000104e-03 4.174080732537327698e+00 4.095550638689214651e+00
6.000000000000000125e-03 5.359059318183067688e+00 1.869710813466928245e+00
7.000000000000000146e-03 5.164813955109509358e+00 9.091160037970614782e-01
8.000000000000000167e-03 4.954751073529627625e+00 4.923656017812591545e-01
9.000000000000001055e-03 5.068745823305239817e+00 3.120909681741159125e-01
1.000000000000000021e-02 4.959439305545672916e+00 2.259245404104472665e-01
1.099999999999999936e-02 4.928122329119331901e+00 1.750376026896512949e-01
1.200000000000000025e-02 4.899732661265259637e+00 1.420079209511849183e-01
1.300000000000000114e-02 4.762169084835671029e+00 1.182034221972579624e-01
1.400000000000000203e-02 4.724469042130830410e+00 1.015206403734533608e-01
1.499999999999999944e-02 4.673109005511533631e+00 8.693352189700717658e-02
1.600000000000000033e-02 4.698582006292919999e+00 7.595270981811869104e-02
1.700000000000000122e-02 4.678161967100327168e+00 6.772994134558477097e-02
1.800000000000000211e-02 4.619637278039786743e+00 6.197157429439330983e-02
1.899999999999999953e-02 4.449311546766833381e+00 5.690249524242412676e-02
2.000000000000000042e-02 4.454478955511314453e+00 5.167912179725208527e-02
2.100000000000000130e-02 4.339525873637906983e+00 4.881749950191158899e-02
2.200000000000000219e-02 4.349338932409254177e+00 4.588563179268316528e-02
2.300000000000000308e-02 4.259939794733915264e+00 4.303354219194345520e-02
2.400000000000000050e-02 4.256384397735031300e+00 4.079614441157077692e-02
2.500000000000000139e-02 4.092405808327132632e+00 3.872490242562755258e-02
2.600000000000000228e-02 3.990206967149728889e+00 3.715307670850391542e-02
2.699999999999999969e-02 3.973998026250573190e+00 3.559847797294767024e-02
2.800000000000000058e-02 3.950742901263062379e+00 3.356098043657086694e-02
2.900000000000000147e-02 3.781326555307658932e+00 3.288783753590585057e-02
3.000000000000000236e-02 3.756581480604449741e+00 3.196413085968837636e-02
3.100000000000000325e-02 3.662783791358397600e+00 3.096634716587602990e-02
3.200000000000000067e-02 3.574237124330289284e+00 2.940657391876036822e-02
3.300000000000000155e-02 3.516190543937121493e+00 2.902605300498922389e-02
3.400000000000000244e-02 3.436015194852597432e+00 2.817528015854901813e-02
3.499999999999999639e-02 3.390577334022253364e+00 2.750966948436476753e-02
3.599999999999999728e-02 3.297831832186849610e+00 2.713099770662243462e-02
3.699999999999999817e-02 3.255256245100003998e+00 2.614212172678020626e-02
3.799999999999999906e-02 3.180732740603855468e+00 2.574352229923379531e-02
3.899999999999999994e-02 3.058703503954216529e+00 2.509537393570723460e-02
4.000000000000000083e-02 3.048769639127159259e+00 2.443591806660064605e-02
4.100000000000000172e-02 2.941707080915517913e+00 2.392517215202172309e-02
4.199999999999999567e-02 2.909332172933619898e+00 2.364019904029355038e-02
4.299999999999999656e-02 2.856188605458580110e+00 2.321159345615431482e-02
4.399999999999999745e-02 2.733048052280926843e+00 2.268127939865443102e-02
4.499999999999999833e-02 2.688236087315876599e+00 2.227902653711724343e-02
4.599999999999999922e-02 2.623941941910525877e+00 2.153076769087644213e-02
4.700000000000000011e-02 2.604732413132975655e+00 2.147759644182471728e-02
4.800000000000000100e-02 2.508725679019696120e+00 2.104861410624261908e-02
4.899999999999999495e-02 2.448526637422488328e+00 2.069582521592043187e-02
5.000000000000000278e-02 2.426213812855531060e+00 2.053897996946335916e-02
5.200000000000000455e-02 2.288445403071288187e+00 1.388793767019411672e-02
5.400000000000000633e-02 2.152063309291134985e+00 1.354096849194590460e-02
5.600000000000000810e-02 2.069385949252617429e+00 1.361466944112914648e-02
5.800000000000000988e-02 1.941250886757989402e+00 1.357114142732200948e-02
6.000000000000001166e-02 1.867186516264452312e+00 1.332263880352952713e-02
6.200000000000001343e-02 1.796401325488663936e+00 1.273054181981950715e-02
6.400000000000001521e-02 1.713836628844225274e+00 1.231485564001530593e-02
6.600000000000001699e-02 1.620885602168197881e+00 1.194613134454720373e-02
6.800000000000001876e-02 1.540068684014659128e+00 1.161775922246490594e-02
7.000000000000002054e-02 1.463350946347088621e+00 1.136748963959364339e-02
7.200000000000002232e-02 1.409231928605178652e+00 1.121234005627895838e-02
7.400000000000002409e-02 1.363267566616187088e+00 1.113329278303851547e-02
7.600000000000002587e-02 1.279493985514621013e+00 1.079699797695783843e-02
7.800000000000002764e-02 1.227751356287741569e+00 1.074281614330165578e-02
8.000000000000002942e-02 1.187384966406376252e+00 1.083446959702716143e-02
8.200000000000003120e-02 1.126354590755795471e+00 1.076926795136875711e-02
8.400000000000003297e-02 1.091647155779501999e+00 1.034640294725955659e-02
8.600000000000003475e-02 1.051129492779196539e+00 1.010244338377062207e-02
8.800000000000003653e-02 1.002686117267617361e+00 1.018161200697027292e-02
9.000000000000003830e-02 9.696079138943906051e-01 1.017488384023204108e-02
9.200000000000004008e-02 9.240079287931628471e-01 1.002928017635610833e-02
9.400000000000004186e-02 9.133471725312304335e-01 9.950804672235538662e-03
9.600000000000004363e-02 8.513923374341426653e-01 9.982316249399986532e-03
9.800000000000004541e-02 8.347805535974545110e-01 9.870938967999313626e-03
1.000000000000000056e-01 8.085337445732414530e-01 9.777747728802028970e-03
1.050000000000000100e-01 7.316292963929501569e-01 6.015495078291328325e-03
1.100000000000000144e-01 6.702240166078926586e-01 5.863795121769236826e-03
1.150000000000000189e-01 6.282256529085350483e-01 5.731719386580905011e-03
1.200000000000000233e-01 5.694035721717761733e-01 5.614372335099628887e-03
1.250000000000000278e-01 5.312078536498706649e-01 5.667212196562358001e-03
1.300000000000000322e-01 5.006116181488446948e-01 5.709858960575528788e-03
1.350000000000000366e-01 4.659085026888354353e-01 5.473149148718723170e-03
1.400000000000000411e-01 4.370498275762659812e-01 5.372472096829238736e-03
1.450000000000000455e-01 4.072479313780031918e-01 5.271691437967639809e-03
1.500000000000000500e-01 3.759271055071633505e-01 5.474908284848805685e-03
1.550000000000000544e-01 3.532629257012732671e-01 5.503711289115571434e-03
1.600000000000000588e-01 3.338892266516861884e-01 5.519224970966653092e-03
1.650000000000000633e-01 3.142662412256808646e-01 5.560974650390859871e-03
1.700000000000000677e-01 2.996299524213703602e-01 5.585982125494899815e-03
1.750000000000000722e-01 2.863967416232614527e-01 5.530756565902797232e-03
1.800000000000000766e-01 2.616665428037323604e-01 4.787619532582366999e-03
1.850000000000000810e-01 2.516652873992956674e-01 4.801411007720478123e-03
1.900000000000000855e-01 2.388574137162579047e-01 4.669561840620503786e-03
1.950000000000000899e-01 2.262650522799576069e-01 4.678671228270014568e-03
2.000000000000000944e-01 2.219878332578778257e-01 4.751751398476723211e-03
2.050000000000000988e-01 2.092861791603561339e-01 4.821337479443281275e-03
2.100000000000001033e-01 2.028537992022949044e-01 4.722497644462079168e-03
2.150000000000001077e-01 2.083818003629773485e-01 4.831893551566652893e-03
2.200000000000001121e-01 1.905252075681262425e-01 4.656924816783774949e-03
2.250000000000001166e-01 1.843829375818339111e-01 4.690063994612450951e-03
2.300000000000001210e-01 1.704240901298776922e-01 4.566248235806050215e-03
2.350000000000001255e-01 1.713461902807003889e-01 4.742101441194359127e-03
2.400000000000001299e-01 1.591428226949102298e-01 4.990354270643192550e-03
2.450000000000001343e-01 1.445043956762279702e-01 4.942949790054383327e-03
2.500000000000001110e-01 1.552133726123781365e-01 5.176597984880356752e-03
2.550000000000001155e-01 1.417390618197916508e-01 5.056144018247795899e-03
2.600000000000001199e-01 1.454921484016751809e-01 5.350215394806335373e-03
2.650000000000001243e-01 1.347250159608343878e-01 5.144124597845745918e-03
2.700000000000001288e-01 1.312946463012908405e-01 5.393146910343486929e-03
2.750000000000001332e-01 1.365450724390520898e-01 5.110056847127117559e-03
2.800000000000001377e-01 1.259339354167438862e-01 5.108874405462037437e-03
2.850000000000001421e-01 1.252444899757795826e-01 5.249655763615867360e-03
2.900000000000001465e-01 1.279207278405413151e-01 5.008357266644961926e-03
2.950000000000001510e-01 1.134162506036861529e-01 5.141814541435729344e-03
3.000000000000001554e-01 1.158141744428413666e-01 5.087048855055639404e-03
3.050000000000001599e-01 1.106659576374394854e-01 5.195025184991077828e-03
3.100000000000001643e-01 1.103671648816748341e-01 5.057202644574181581e-03
3.150000000000001688e-01 1.078512097963069266e-01 4.987950562661965306e-03
3.200000000000001732e-01 1.080876116295277495e-01 4.944946747221886339e-03
3.250000000000001776e-01 1.081602411689895626e-01 4.901640322275900054e-03
3.300000000000001821e-01 9.662166553932230451e-02 4.785388541959277597e-03
3.350000000000001865e-01 9.969125167596151749e-02 4.695500573502512862e-03
3.400000000000001910e-01 8.872787243074260755e-02 4.593035000568377463e-03
3.450000000000001954e-01 9.101578586068689858e-02 4.825459040335405847e-03
3.500000000000001998e-01 9.027437169155905217e-02 4.451040638677364325e-03
3.550000000000002043e-01 9.589411277419890300e-02 4.719498194679106959e-03
3.600000000000002087e-01 9.390887589618128473e-02 4.593628309317938224e-03
3.650000000000002132e-01 8.734588138693041848e-02 4.514323671367314814e-03
3.700000000000002176e-01 9.225377130527816216e-02 4.481613761501966262e-03
3.750000000000002220e-01 9.192852581432890691e-02 4.476916806177272563e-03
3.800000000000002265e-01 8.483766418189025993e-02 4.622544474286543331e-03
3.850000000000002309e-01 8.478921554759631662e-02 4.295591801930840822e-03
3.900000000000002354e-01 7.752412460526617033e-02 4.744721834860124096e-03
3.950000000000002398e-01 8.022253179365115838e-02 4.631518186325378136e-03
4.000000000000002442e-01 7.803007711911315314e-02 4.415328982106468680e-03
4.050000000000002487e-01 8.153816633071030162e-02 4.241480921857799895e-03
4.100000000000002531e-01 8.187997797680603151e-02 4.178090969312440832e-03
4.150000000000002576e-01 7.820408202383552498e-02 4.083819563107844892e-03
4.200000000000002620e-01 7.952529611271536014e-02 4.125924147303128460e-03
4.250000000000002665e-01 7.677941729613985133e-02 4.210237520627855418e-03
4.300000000000002709e-01 7.180005453647732294e-02 4.042914917040483364e-03
4.350000000000002753e-01 7.834765764673322364e-02 4.167509071382471779e-03
4.400000000000002798e-01 7.485410915586715452e-02 4.007751321034778123e-03
4.450000000000002842e-01 7.080114711792515059e-02 3.956381381085432442e-03
4.500000000000002887e-01 7.357279332503419145e-02 3.934475922026709968e-03
4.550000000000002931e-01 7.524127185619498837e-02 3.907267445391982702e-03
4.600000000000002975e-01 7.426968073067928555e-02 3.828190505068661785e-03
4.650000000000003020e-01 6.833557935740851297e-02 3.851922276670866584e-03
4.700000000000003064e-01 7.304830813589180405e-02 3.777439559803634928e-03
4.750000000000003109e-01 7.095601767985358632e-02 3.882577129941586040e-03
4.800000000000003153e-01 6.930920304197595028e-02 4.171191956164207147e-03
4.850000000000003197e-01 7.060838674204966692e-02 4.357429389608729296e-03
4.900000000000003242e-01 6.090401449125830424e-02 3.787588406815528032e-03
4.950000000000003286e-01 6.650719519500057630e-02 3.730699472797125750e-03
5.000000000000000000e-01 6.236435997514364060e-02 3.694813925913181980e-03
5.100000000000000089e-01 6.396349023347627782e-02 2.595067733304681681e-03
5.200000000000000178e-01 6.540303492306628885e-02 2.560229488010637780e-03
5.300000000000000266e-01 6.084386640673314361e-02 2.536211818897378314e-03
5.400000000000000355e-01 6.173774268582152974e-02 2.510799589446186496e-03
5.500000000000000444e-01 6.127590328568358058e-02 2.463883947268929574e-03
5.600000000000000533e-01 6.020325927680010569e-02 2.440952852703704226e-03
5.700000000000000622e-01 6.025494987581895417e-02 2.439913586223741142e-03
5.800000000000000711e-01 5.640130639718059918e-02 2.368291599967670830e-03
5.900000000000000799e-01 5.454179800569434328e-02 2.322587577564880993e-03
6.000000000000000888e-01 5.715570194395386272e-02 2.328363529975412474e-03
6.100000000000000977e-01 5.356563534770340806e-02 2.291745852825063587e-03
6.200000000000001066e-01 5.217874170591547955e-02 2.243105389817442660e-03
6.300000000000001155e-01 5.194111709929838394e-02 2.259540341638225074e-03
6.400000000000001243e-01 5.202893031525022971e-02 2.204287942549258347e-03
6.500000000000001332e-01 5.011891586231795315e-02 2.214518082189536816e-03
6.600000000000001421e-01 4.920391731185837225e-02 2.200504972946111092e-03
6.700000000000001510e-01 5.053396182969509959e-02 2.197195103621825841e-03
6.800000000000001599e-01 4.851056604894242452e-02 2.164926652815335386e-03
6.900000000000001688e-01 5.002068399943923604e-02 2.140258232638946219e-03
7.000000000000001776e-01 4.600531806723499872e-02 2.092059971269437119e-03
7.100000000000001865e-01 4.742012712608262293e-02 2.124870275771927487e-03
7.200000000000001954e-01 4.609009263994202910e-02 2.081236137537595659e-03
7.300000000000002043e-01 4.485146691415842907e-02 2.107421006253654659e-03
7.400000000000002132e-01 4.372357554687682918e-02 2.053306129355380975e-03
7.500000000000002220e-01 4.341588389533233838e-02 2.025807420060275754e-03
7.600000000000002309e-01 4.538774566756569734e-02 2.024124125775465539e-03
7.700000000000002398e-01 4.101379135625111277e-02 2.012117995789286431e-03
7.800000000000002487e-01 4.139208482417525148e-02 2.022133967574310780e-03
7.900000000000002576e-01 4.159087562190216802e-02 2.023236186825820310e-03
8.000000000000002665e-01 4.131794192844132074e-02 1.988385230603700697e-03
8.100000000000002753e-01 4.065053976899369453e-02 1.959595668168738827e-03
8.200000000000002842e-01 4.017898488363953746e-02 1.954935575095187276e-03
8.300000000000002931e-01 4.116995027841310190e-02 1.989145404193652395e-03
8.400000000000003020e-01 3.729494952567149330e-02 1.976618863313883354e-03
8.500000000000003109e-01 3.729025300106879326e-02 1.948452535083178543e-03
8.600000000000003197e-01 3.575345089167610707e-02 1.955091902084974808e-03
8.700000000000003286e-01 3.718378212887709505e-02 1.943868601317551596e-03
8.800000000000003375e-01 3.657419928941785942e-02 1.961599989444058872e-03
8.900000000000003464e-01 3.729170366630450012e-02 1.873516227901745202e-03
9.000000000000003553e-01 3.664868432521232317e-02 1.826216960246963622e-03
9.100000000000003642e-01 3.633770053383500453e-02 1.759126044515347750e-03
9.200000000000003730e-01 3.677183420211841552e-02 1.743817698385079738e-03
9.300000000000003819e-01 3.475648866106197110e-02 1.760478084725890366e-03
9.400000000000003908e-01 3.627795110335831769e-02 1.721305386412386260e-03
9.500000000000003997e-01 3.654689168756372619e-02 1.720935683446621822e-03
9.600000000000004086e-01 3.825375258028219233e-02 1.669279217626383569e-03
9.700000000000004174e-01 3.610550793592046809e-02 1.663927000923825410e-03
