# q_A^-1 I sigma_shared_background
5.000000000000000104e-03 3.439117036258838134e+00 4.078487568742201752e+00
6.000000000000000125e-03 4.224008937553429988e+00 1.861153092925918129e+00
7.000000000000000146e-03 3.800352787068123739e+00 9.047952767326834511e-01
8.000000000000000167e-03 4.056841437186125887e+00 4.925383729806360744e-01
9.000000000000001055e-03 3.982849955495289418e+00 3.116883198575356451e-01
1.000000000000000021e-02 3.795857303826879914e+00 2.239292777596792461e-01
1.099999999999999936e-02 3.862400371629325146e+00 1.755795356887629166e-01
1.200000000000000025e-02 4.060347798570182576e+00 1.397045312667023753e-01
1.300000000000000114e-02 3.958832043380627219e+00 1.178479603320221336e-01
1.400000000000000203e-02 3.830660856377617218e+00 1.005438590783483965e-01
1.499999999999999944e-02 3.880495447704962242e+00 8.677518973162941240e-02
1.600000000000000033e-02 3.851750463846855155e+00 7.487663019687237909e-02
1.700000000000000122e-02 3.787146440546198978e+00 6.730924798555312782e-02
1.800000000000000211e-02 3.826149099162456491e+00 6.030744265277172833e-02
1.899999999999999953e-02 3.694765270891463782e+00 5.590333854746359216e-02
2.000000000000000042e-02 3.633941701352332299e+00 5.089923144188233245e-02
2.100000000000000130e-02 3.580434948273304663e+00 4.767162390089989266e-02
2.200000000000000219e-02 3.535948261683558247e+00 4.505942277903054322e-02
2.300000000000000308e-02 3.475040717042261473e+00 4.175838970501506014e-02
2.400000000000000050e-02 3.452780895901669478e+00 3.968462105633076276e-02
2.500000000000000139e-02 3.416256356149583340e+00 3.823086500450492697e-02
2.600000000000000228e-02 3.357611670191805064e+00 3.635021489171837844e-02
2.699999999999999969e-02 3.314740015098408765e+00 3.488531886639602286e-02
2.800000000000000058e-02 3.217972102194099460e+00 3.280793502910209908e-02
2.900000000000000147e-02 3.148002666337018418e+00 3.226607813050694218e-02
3.000000000000000236e-02 3.095316670368043699e+00 3.124582489269503785e-02
3.100000000000000325e-02 3.082926140822695782e+00 3.005052943059945483e-02
3.200000000000000067e-02 2.991999676928351892e+00 2.884758203406393579e-02
3.300000000000000155e-02 2.950121660695967929e+00 2.833666184486624551e-02
3.400000000000000244e-02 2.836489526212442325e+00 2.773066282341018346e-02
3.499999999999999639e-02 2.788362244943088264e+00 2.673019878464219512e-02
3.599999999999999728e-02 2.747122509249791289e+00 2.630190754496774044e-02
3.699999999999999817e-02 2.690469942137206250e+00 2.551716548342790325e-02
3.799999999999999906e-02 2.637556525380151839e+00 2.508984331247908484e-02
3.899999999999999994e-02 2.550576193606290953e+00 2.437405993987250621e-02
4.000000000000000083e-02 2.526870097482699862e+00 2.395224892921964804e-02
4.100000000000000172e-02 2.454261115378681080e+00 2.333265492321513757e-02
4.199999999999999567e-02 2.389226793750371503e+00 2.311063872951884049e-02
4.299999999999999656e-02 2.354635232999462424e+00 2.248041531556210088e-02
4.399999999999999745e-02 2.280285135332869029e+00 2.211853352057905828e-02
4.499999999999999833e-02 2.229293519389287326e+00 2.174325616910591230e-02
4.599999999999999922e-02 2.218016518364194223e+00 2.120978155528492615e-02
4.700000000000000011e-02 2.141619139239201886e+00 2.081800249104817993e-02
4.800000000000000100e-02 2.078667520450627304e+00 2.057688442584227131e-02
4.899999999999999495e-02 2.041689354311940985e+00 2.022059953060880225e-02
5.000000000000000278e-02 1.987525378465907933e+00 2.008974712164493526e-02
5.200000000000000455e-02 1.882678276643793280e+00 1.356095128620963403e-02
5.400000000000000633e-02 1.807293801038008407e+00 1.325941072740083847e-02
5.600000000000000810e-02 1.704567195170443306e+00 1.326453279162653591e-02
5.800000000000000988e-02 1.632170276701308875e+00 1.330256615596387727e-02
6.000000000000001166e-02 1.579069527609675561e+00 1.312385507363979242e-02
6.200000000000001343e-02 1.482745146999415287e+00 1.241586809317176375e-02
6.400000000000001521e-02 1.429349603098631905e+00 1.211830665122778407e-02
6.600000000000001699e-02 1.356886534245853149e+00 1.173010880560550369e-02
6.800000000000001876e-02 1.278956840519741567e+00 1.140075320590127478e-02
7.000000000000002054e-02 1.229107603736224741e+00 1.118566321323232436e-02
7.200000000000002232e-02 1.177677686912537824e+00 1.104605517773243721e-02
7.400000000000002409e-02 1.134591491674723951e+00 1.097893083669087937e-02
7.600000000000002587e-02 1.082349445046519198e+00 1.068385278709070053e-02
7.800000000000002764e-02 1.017446247251621694e+00 1.057057571463759435e-02
8.000000000000002942e-02 1.001630441934638904e+00 1.067512485208015234e-02
8.200000000000003120e-02 9.430288672997602095e-01 1.061201223606134635e-02
8.400000000000003297e-02 9.056896045170956810e-01 1.022954172489782924e-02
8.600000000000003475e-02 8.864268868894149556e-01 9.994109557065814636e-03
8.800000000000003653e-02 8.459729246429913418e-01 1.005809644004828328e-02
9.000000000000003830e-02 8.161571570389305474e-01 1.004320423354727355e-02
9.200000000000004008e-02 7.878232044547525126e-01 9.914274708693023366e-03
9.400000000000004186e-02 7.538781660961874076e-01 9.843029970318550870e-03
9.600000000000004363e-02 7.179919514061081642e-01 9.833749909599473135e-03
9.800000000000004541e-02 6.898173799664196748e-01 9.770282032840773428e-03
1.000000000000000056e-01 6.675701489049550297e-01 9.674820781865753339e-03
1.050000000000000100e-01 6.186453137835803417e-01 5.971523418758479564e-03
1.100000000000000144e-01 5.639292709103479462e-01 5.823342742683357970e-03
1.150000000000000189e-01 5.281598497072104159e-01 5.681683047495796231e-03
1.200000000000000233e-01 4.674728624561259038e-01 5.576192226949676714e-03
1.250000000000000278e-01 4.435329582460813547e-01 5.632677923158977210e-03
1.300000000000000322e-01 4.149001390137310730e-01 5.655665936502215878e-03
1.350000000000000366e-01 3.923581908666548546e-01 5.436300342971305682e-03
1.400000000000000411e-01 3.608573185902521629e-01 5.338910254328539662e-03
1.450000000000000455e-01 3.367144306155814837e-01 5.249877095798913089e-03
1.500000000000000500e-01 3.222730613941520161e-01 5.436059458427689936e-03
1.550000000000000544e-01 2.953833040571010038e-01 5.466664241064649564e-03
1.600000000000000588e-01 2.779544218937735622e-01 5.489855069461204232e-03
1.650000000000000633e-01 2.645511593514945914e-01 5.535849667764171887e-03
1.700000000000000677e-01 2.405526804545955188e-01 5.553682780584133678e-03
1.750000000000000722e-01 2.380376113437979724e-01 5.506006112138801638e-03
1.800000000000000766e-01 2.228988390367178107e-01 4.800568071362060207e-03
1.850000000000000810e-01 2.117266123106316122e-01 4.732341011113046399e-03
1.900000000000000855e-01 1.985360217739654543e-01 4.628945589237565619e-03
1.950000000000000899e-01 1.917614661591735825e-01 4.560912876219644016e-03
2.000000000000000944e-01 1.901445320816901596e-01 4.762483188812237193e-03
2.050000000000000988e-01 1.775524035466566064e-01 4.803525694295279584e-03
2.100000000000001033e-01 1.681063742388947124e-01 4.737479197377381969e-03
2.150000000000001077e-01 1.660768634137132771e-01 4.775031866692914378e-03
2.200000000000001121e-01 1.558010846074120992e-01 4.652302850643818058e-03
