### DATA:
#
# 274
#      Q             I(Q)           Error     
5.00000000E-03  7.63685929E+00  9.96231252E+00
6.00000000E-03  7.64919194E+00  4.70721901E+00
7.00000000E-03  6.49062914E+00  2.32680976E+00
8.00000000E-03  5.55832921E+00  1.23717193E+00
9.00000000E-03  5.40094530E+00  8.05741640E-01
1.00000000E-02  6.34075472E+00  6.06025235E-01
1.10000000E-02  5.39926986E+00  4.78389387E-01
1.20000000E-02  5.74953989E+00  4.03080573E-01
1.30000000E-02  5.24765876E+00  3.22678678E-01
1.40000000E-02  5.63949419E+00  2.82433526E-01
1.50000000E-02  5.36754471E+00  2.40980535E-01
1.60000000E-02  5.38637758E+00  2.18751816E-01
1.70000000E-02  4.88453880E+00  1.93965966E-01
1.80000000E-02  5.13479710E+00  1.79205682E-01
1.90000000E-02  4.95208070E+00  1.60744528E-01
2.00000000E-02  5.11663137E+00  1.48206715E-01
2.10000000E-02  4.90705118E+00  1.39488164E-01
2.20000000E-02  4.81667127E+00  1.36080495E-01
2.30000000E-02  4.70020584E+00  1.26929743E-01
2.40000000E-02  4.69066864E+00  1.17858672E-01
2.50000000E-02  4.56333829E+00  1.11304934E-01
2.60000000E-02  4.53639936E+00  1.08543818E-01
2.70000000E-02  4.39585593E+00  1.00774111E-01
2.80000000E-02  4.34642542E+00  9.78448533E-02
2.90000000E-02  4.22879013E+00  9.78094509E-02
3.00000000E-02  4.08811525E+00  9.24270136E-02
3.10000000E-02  4.08824498E+00  8.95278078E-02
3.20000000E-02  3.83783086E+00  8.43088661E-02
3.30000000E-02  3.83349717E+00  8.52610073E-02
3.40000000E-02  3.78347131E+00  8.14263384E-02
3.50000000E-02  3.64152737E+00  8.11956721E-02
3.60000000E-02  3.70905468E+00  7.94341259E-02
3.70000000E-02  3.64611231E+00  7.66536076E-02
3.80000000E-02  3.52351502E+00  7.59532716E-02
3.90000000E-02  3.42738235E+00  7.27566542E-02
4.00000000E-02  3.39065645E+00  7.17858823E-02
4.10000000E-02  3.32426560E+00  7.10136770E-02
4.20000000E-02  3.20215647E+00  6.93805720E-02
4.30000000E-02  3.11798235E+00  6.73197062E-02
4.40000000E-02  2.99839139E+00  6.53251601E-02
4.50000000E-02  2.96379041E+00  6.51991108E-02
4.60000000E-02  2.86203402E+00  6.24641507E-02
4.70000000E-02  2.89208701E+00  6.40621243E-02
4.80000000E-02  2.73078464E+00  6.18902077E-02
4.90000000E-02  2.70999338E+00  6.08299848E-02
5.00000000E-02  2.66574125E+00  5.97629964E-02
5.20000000E-02  2.56396009E+00  4.09208222E-02
5.40000000E-02  2.38573760E+00  3.96388508E-02
5.60000000E-02  2.30049001E+00  3.98853798E-02
5.80000000E-02  2.14646400E+00  3.91318819E-02
6.00000000E-02  2.07779910E+00  3.80793525E-02
6.20000000E-02  1.97271859E+00  3.69437217E-02
6.40000000E-02  1.88750445E+00  3.58426942E-02
6.60000000E-02  1.78749793E+00  3.41460943E-02
6.80000000E-02  1.73201814E+00  3.33741688E-02
7.00000000E-02  1.62387767E+00  3.27377172E-02
7.20000000E-02  1.53754106E+00  3.18713401E-02
7.40000000E-02  1.49725749E+00  3.21170477E-02
7.60000000E-02  1.39640170E+00  3.05475488E-02
7.80000000E-02  1.34833893E+00  3.06194253E-02
8.00000000E-02  1.30622333E+00  3.10915135E-02
8.20000000E-02  1.24019247E+00  3.06865960E-02
8.40000000E-02  1.21249492E+00  2.96188313E-02
8.60000000E-02  1.16409628E+00  2.88426322E-02
8.80000000E-02  1.07629929E+00  2.85343744E-02
9.00000000E-02  1.08814389E+00  2.88030421E-02
9.20000000E-02  1.01064130E+00  2.82307147E-02
9.40000000E-02  1.00248219E+00  2.82045008E-02
9.60000000E-02  9.25105940E-01  2.85099933E-02
9.80000000E-02  8.81666178E-01  2.81553509E-02
1.00000000E-01  8.86332559E-01  2.76161138E-02
1.05000000E-01  8.28190684E-01  1.69707067E-02
1.10000000E-01  7.52232564E-01  1.67311047E-02
1.15000000E-01  6.92012585E-01  1.60541773E-02
1.20000000E-01  6.33546031E-01  1.57505486E-02
1.25000000E-01  5.98600203E-01  1.59530237E-02
1.30000000E-01  5.51363994E-01  1.59295812E-02
1.35000000E-01  5.22307143E-01  1.54587816E-02
1.40000000E-01  4.72632911E-01  1.50890735E-02
1.45000000E-01  4.55301773E-01  1.48009764E-02
1.50000000E-01  4.12796188E-01  1.54346817E-02
1.55000000E-01  3.83489051E-01  1.53923235E-02
1.60000000E-01  3.68223816E-01  1.53114769E-02
1.65000000E-01  3.54830817E-01  1.57461086E-02
1.70000000E-01  3.22569516E-01  1.54523241E-02
1.75000000E-01  3.04592346E-01  1.53171169E-02
1.80000000E-01  3.14024209E-01  1.36880652E-02
1.85000000E-01  2.70941065E-01  1.37279832E-02
1.90000000E-01  2.67887956E-01  1.27911378E-02
1.95000000E-01  2.48206260E-01  1.28909256E-02
2.00000000E-01  2.25533204E-01  1.31720738E-02
2.05000000E-01  2.39584161E-01  1.38286078E-02
2.10000000E-01  2.17612355E-01  1.25964256E-02
2.15000000E-01  2.25871509E-01  1.37123036E-02
2.20000000E-01  2.17785049E-01  1.26849823E-02
2.25000000E-01  2.08123103E-01  1.32030947E-02
2.30000000E-01  1.74881149E-01  1.28012472E-02
2.35000000E-01  1.78245842E-01  1.34258344E-02
2.40000000E-01  1.82671689E-01  1.30158940E-02
2.45000000E-01  1.60880101E-01  1.44673528E-02
2.50000000E-01  1.94595366E-01  1.44941533E-02
2.55000000E-01  1.56122865E-01  1.38312586E-02
2.60000000E-01  1.55541241E-01  1.46870398E-02
2.65000000E-01  1.48113916E-01  1.44733091E-02
2.70000000E-01  1.48890947E-01  1.53365926E-02
2.75000000E-01  1.52343253E-01  1.41959768E-02
2.80000000E-01  1.26314445E-01  1.35902443E-02
2.85000000E-01  1.40106264E-01  1.42260918E-02
2.90000000E-01  1.43563200E-01  1.40319451E-02
2.95000000E-01  1.27072771E-01  1.51066611E-02
3.00000000E-01  1.35888994E-01  1.46018866E-02
3.05000000E-01  1.14172404E-01  1.38504722E-02
3.10000000E-01  1.36529567E-01  1.50612590E-02
3.15000000E-01  1.20888074E-01  1.40369366E-02
3.20000000E-01  1.15171113E-01  1.35829122E-02
3.25000000E-01  1.22362233E-01  1.39231092E-02
3.30000000E-01  1.24026712E-01  1.28586332E-02
3.35000000E-01  1.19822630E-01  1.37319436E-02
3.40000000E-01  9.09957424E-02  1.28427979E-02
3.45000000E-01  8.19909453E-02  1.26397958E-02
3.50000000E-01  1.06435858E-01  1.31682522E-02
3.55000000E-01  1.08303331E-01  1.28984783E-02
3.60000000E-01  1.06872855E-01  1.28656676E-02
3.65000000E-01  9.92958944E-02  1.17951450E-02
3.70000000E-01  1.17594547E-01  1.25917810E-02
3.75000000E-01  1.14808095E-01  1.27134448E-02
3.80000000E-01  9.71344665E-02  1.26675723E-02
3.85000000E-01  8.08121768E-02  1.22109824E-02
3.90000000E-01  7.60117418E-02  1.30492872E-02
3.95000000E-01  1.02473054E-01  1.28511523E-02
4.00000000E-01  7.51057744E-02  1.25343455E-02
4.05000000E-01  8.63319931E-02  1.24697729E-02
