### DATA:
#
# 273
#      Q             I(Q)           Error     
6.00000000E-03  1.11719230E+00  2.00199188E+00
7.00000000E-03  1.60820503E+00  9.45499380E-01
8.00000000E-03  1.29809918E+00  5.86577571E-01
9.00000000E-03  1.72577112E+00  3.94819149E-01
1.00000000E-02  7.89108750E-01  2.63248721E-01
1.10000000E-02  8.41449606E-01  2.29170311E-01
1.20000000E-02  9.45333189E-01  1.91546913E-01
1.30000000E-02  1.20402150E+00  1.78965512E-01
1.40000000E-02  1.00971690E+00  1.59592583E-01
1.50000000E-02  9.56453267E-01  1.40809445E-01
1.60000000E-02  9.71277381E-01  1.26060365E-01
1.70000000E-02  9.94763352E-01  1.17688631E-01
1.80000000E-02  9.61104465E-01  1.09689164E-01
1.90000000E-02  1.00644982E+00  1.02225613E-01
2.00000000E-02  1.03759883E+00  9.75514419E-02
2.10000000E-02  1.00122703E+00  9.29486435E-02
2.20000000E-02  9.29272158E-01  8.75400291E-02
2.30000000E-02  9.14941042E-01  8.57584343E-02
2.40000000E-02  9.69137782E-01  8.13463378E-02
2.50000000E-02  9.37839242E-01  7.81095575E-02
2.60000000E-02  8.62160355E-01  7.76724273E-02
2.70000000E-02  8.84077712E-01  7.47452235E-02
2.80000000E-02  9.83896742E-01  7.38216779E-02
2.90000000E-02  9.44561425E-01  7.26392527E-02
3.00000000E-02  8.62523295E-01  6.86153116E-02
3.10000000E-02  8.59262050E-01  6.86919605E-02
3.20000000E-02  8.61959454E-01  6.84632404E-02
3.30000000E-02  7.34074084E-01  6.64348386E-02
3.40000000E-02  9.39137448E-01  6.46070850E-02
3.50000000E-02  8.53596058E-01  6.26694672E-02
3.60000000E-02  9.16789473E-01  6.21709204E-02
3.70000000E-02  7.46535456E-01  6.01119999E-02
3.80000000E-02  7.38259119E-01  5.92463869E-02
3.90000000E-02  8.40072433E-01  5.96892144E-02
4.00000000E-02  7.25089090E-01  5.83056380E-02
4.10000000E-02  7.46374171E-01  5.68363868E-02
4.20000000E-02  7.26460750E-01  5.78325631E-02
4.30000000E-02  7.04276316E-01  5.52912302E-02
4.40000000E-02  6.68076242E-01  5.49017565E-02
4.50000000E-02  7.27570084E-01  5.51854078E-02
4.60000000E-02  6.64251918E-01  5.32756359E-02
4.70000000E-02  5.82823777E-01  5.17704953E-02
4.80000000E-02  6.71978681E-01  5.22164319E-02
4.90000000E-02  6.21694070E-01  5.22603933E-02
5.00000000E-02  7.13591214E-01  5.14508330E-02
5.20000000E-02  6.14828275E-01  3.48904289E-02
5.40000000E-02  5.47170592E-01  3.36717810E-02
5.60000000E-02  5.39179660E-01  3.42978628E-02
5.80000000E-02  5.03230559E-01  3.40178762E-02
6.00000000E-02  5.11569942E-01  3.44398752E-02
6.20000000E-02  4.94505468E-01  3.31280126E-02
6.40000000E-02  5.00507815E-01  3.22126684E-02
6.60000000E-02  4.46166130E-01  3.17540380E-02
6.80000000E-02  4.31123568E-01  3.04817159E-02
7.00000000E-02  4.19299105E-01  3.00185298E-02
7.20000000E-02  4.23380007E-01  2.93065034E-02
7.40000000E-02  3.95115979E-01  2.91852895E-02
7.60000000E-02  3.63061505E-01  2.87858828E-02
7.80000000E-02  3.66952733E-01  2.80735437E-02
8.00000000E-02  3.20206007E-01  2.84558728E-02
8.20000000E-02  3.79907836E-01  2.89858695E-02
8.40000000E-02  3.53089171E-01  2.85105419E-02
8.60000000E-02  2.91574450E-01  2.74952952E-02
8.80000000E-02  2.91726600E-01  2.71099820E-02
9.00000000E-02  2.59343615E-01  2.75984901E-02
9.20000000E-02  2.82323851E-01  2.76110457E-02
9.40000000E-02  2.32210184E-01  2.69545115E-02
9.60000000E-02  2.56381337E-01  2.69987771E-02
9.80000000E-02  2.33198475E-01  2.70565783E-02
1.00000000E-01  1.82495049E-01  2.67851999E-02
1.05000000E-01  2.16052702E-01  1.66794747E-02
1.10000000E-01  2.18619035E-01  1.64269489E-02
1.15000000E-01  1.93612450E-01  1.59888764E-02
1.20000000E-01  1.89043526E-01  1.57860131E-02
1.25000000E-01  1.66860184E-01  1.57196051E-02
1.30000000E-01  1.64935590E-01  1.61316822E-02
1.35000000E-01  1.32926847E-01  1.55103503E-02
1.40000000E-01  1.33982017E-01  1.52296131E-02
1.45000000E-01  1.08350576E-01  1.49169725E-02
1.50000000E-01  1.05295775E-01  1.50251217E-02
1.55000000E-01  1.09651629E-01  1.55094716E-02
1.60000000E-01  9.47890967E-02  1.56378967E-02
1.65000000E-01  8.74581579E-02  1.57048439E-02
1.70000000E-01  6.51661367E-02  1.57809689E-02
1.75000000E-01  8.99148234E-02  1.57757021E-02
1.80000000E-01  7.19890269E-02  1.57627102E-02
1.85000000E-01  6.66633129E-02  1.55419946E-02
1.90000000E-01  5.47813152E-02  1.55692313E-02
1.95000000E-01  6.83893577E-02  1.56937280E-02
2.00000000E-01  4.18226268E-02  1.47262011E-02
2.05000000E-01  1.69516625E-02  1.44941362E-02
2.10000000E-01  4.97708794E-02  1.40409932E-02
2.15000000E-01  2.97243028E-02  1.46255684E-02
2.20000000E-01  4.10678186E-02  1.47110006E-02
2.25000000E-01  5.30762757E-02  1.39761036E-02
2.30000000E-01  3.66026378E-02  1.34902163E-02
2.35000000E-01  2.11265432E-02  1.37272218E-02
