# q_A^-1 I sigma_shared_background
6.000000000000000125e-03 9.607568697597771434e-01 6.867765174615343415e-01
7.000000000000000146e-03 8.976946196944316503e-01 3.170783822719367429e-01
8.000000000000000167e-03 7.885997253763561421e-01 1.951465222864928462e-01
9.000000000000001055e-03 4.718301466590215099e-01 1.260393481380543412e-01
1.000000000000000021e-02 4.759354651025248240e-01 9.433422111674426291e-02
1.099999999999999936e-02 3.797591919765869184e-01 7.687994722486218846e-02
1.200000000000000025e-02 4.288711547073982833e-01 6.621337688124497023e-02
1.300000000000000114e-02 4.500783344098302496e-01 5.721392280825767646e-02
1.400000000000000203e-02 3.960872482506360703e-01 5.226195640875395954e-02
1.499999999999999944e-02 4.509277457846542769e-01 4.682999351322176401e-02
1.600000000000000033e-02 3.908438477555158941e-01 4.190978399347431577e-02
1.700000000000000122e-02 3.607478764241543456e-01 3.817718573897045664e-02
1.800000000000000211e-02 4.564924435134206648e-01 3.572308172623617911e-02
1.899999999999999953e-02 4.288236527909336515e-01 3.420142002416042687e-02
2.000000000000000042e-02 3.638222708337726097e-01 3.175464451455017184e-02
2.100000000000000130e-02 3.938389987059500164e-01 3.009077167958897764e-02
2.200000000000000219e-02 3.282798749306757857e-01 2.919914209372325570e-02
2.300000000000000308e-02 3.448661055799281949e-01 2.772160825504414727e-02
2.400000000000000050e-02 3.055381240347243565e-01 2.692780895726814075e-02
2.500000000000000139e-02 3.577384660326863863e-01 2.584147700143625548e-02
2.600000000000000228e-02 3.630243513143422418e-01 2.537809226203992241e-02
2.699999999999999969e-02 3.229514721444188829e-01 2.439136110031442720e-02
2.800000000000000058e-02 3.333480620357336943e-01 2.341959180438298732e-02
2.900000000000000147e-02 3.470249119166541885e-01 2.319697338702326334e-02
3.000000000000000236e-02 3.473886642409050873e-01 2.290507070520911986e-02
3.100000000000000325e-02 3.251459470670250984e-01 2.242410466624128462e-02
3.200000000000000067e-02 3.322007309278262599e-01 2.167783357346484210e-02
3.300000000000000155e-02 3.210242191501631037e-01 2.135343437219845014e-02
3.400000000000000244e-02 3.172507382486757788e-01 2.091521952035767587e-02
3.499999999999999639e-02 2.838990614306214910e-01 2.042387557250397931e-02
3.599999999999999728e-02 3.028693191776108962e-01 2.036444995808130848e-02
3.699999999999999817e-02 2.903347647374592833e-01 1.977669168357428300e-02
3.799999999999999906e-02 2.934926334200109177e-01 1.951552714271260341e-02
