# q_A^-1 I sigma_shared_background
6.000000000000000125e-03 2.948719318721016780e+00 7.382204120357253041e-01
7.000000000000000146e-03 2.388941476265438180e+00 3.443372938017247309e-01
8.000000000000000167e-03 2.180746375122054825e+00 2.101749907810575579e-01
9.000000000000001055e-03 1.964447274493005491e+00 1.373620674054604196e-01
1.000000000000000021e-02 1.804045956867545986e+00 1.021861811117498603e-01
1.099999999999999936e-02 1.613845573480814810e+00 8.332358634519211604e-02
1.200000000000000025e-02 1.740027905834302224e+00 7.174833450982398553e-02
1.300000000000000114e-02 1.759267096546468290e+00 6.305306433676795275e-02
1.400000000000000203e-02 1.785482072320503599e+00 5.708365299383050262e-02
1.499999999999999944e-02 1.780376905865414416e+00 5.219901666425635911e-02
1.600000000000000033e-02 1.721339630915945218e+00 4.746299394508142477e-02
1.700000000000000122e-02 1.728947175206608122e+00 4.321231206832520932e-02
1.800000000000000211e-02 1.688704427838701783e+00 4.012784971112064863e-02
1.899999999999999953e-02 1.672091884571141440e+00 3.834761238171955494e-02
2.000000000000000042e-02 1.703255376927615528e+00 3.637440918763566039e-02
2.100000000000000130e-02 1.676560991205747531e+00 3.441905152059855644e-02
2.200000000000000219e-02 1.626030259354023899e+00 3.304411860173495780e-02
2.300000000000000308e-02 1.597002801496924640e+00 3.160538892006068551e-02
2.400000000000000050e-02 1.559719191106176961e+00 3.053767031606990576e-02
2.500000000000000139e-02 1.572208840098513249e+00 2.944418833982987219e-02
2.600000000000000228e-02 1.560761016446159166e+00 2.894368729640403592e-02
2.699999999999999969e-02 1.549262394533114762e+00 2.800316722436792596e-02
2.800000000000000058e-02 1.537300380544938339e+00 2.697494852059048251e-02
2.900000000000000147e-02 1.504299994093192927e+00 2.655943211106280566e-02
3.000000000000000236e-02 1.492087039029844409e+00 2.608580276256272298e-02
3.100000000000000325e-02 1.487017202683418526e+00 2.541124230159258132e-02
3.200000000000000067e-02 1.447560092131378484e+00 2.480544404973370268e-02
3.300000000000000155e-02 1.438372929074692497e+00 2.425628005643943111e-02
3.400000000000000244e-02 1.366449091168040919e+00 2.367942316525975185e-02
3.499999999999999639e-02 1.419811347830909121e+00 2.344688900794640249e-02
3.599999999999999728e-02 1.362384628956554211e+00 2.294313258362699545e-02
3.699999999999999817e-02 1.361069883634385524e+00 2.267416114290782617e-02
3.799999999999999906e-02 1.312764759265326431e+00 2.230111847837519881e-02
3.899999999999999994e-02 1.305575691587115728e+00 2.180496488950917078e-02
4.000000000000000083e-02 1.289561146752827181e+00 2.160389639128950517e-02
4.100000000000000172e-02 1.225309367358653034e+00 2.125438699863624673e-02
4.199999999999999567e-02 1.272871232699591681e+00 2.100376737250857564e-02
4.299999999999999656e-02 1.219233276176632463e+00 2.042012056852746463e-02
4.399999999999999745e-02 1.154664899961558078e+00 2.017511899751555163e-02
4.499999999999999833e-02 1.160992043227850878e+00 2.012243446223258361e-02
4.599999999999999922e-02 1.162515489150875769e+00 1.965522470748281084e-02
4.700000000000000011e-02 1.157948528231904195e+00 1.918823057736508339e-02
4.800000000000000100e-02 1.125595298615736706e+00 1.891573503714309712e-02
4.899999999999999495e-02 1.065608381795284387e+00 1.877081615864750752e-02
5.000000000000000278e-02 1.049376181937948349e+00 1.848022365212882712e-02
5.200000000000000455e-02 1.024954450129185179e+00 1.285585970974096291e-02
5.400000000000000633e-02 9.749256074255122639e-01 1.250772529951577582e-02
5.600000000000000810e-02 9.247084848501693211e-01 1.248997876192103375e-02
5.800000000000000988e-02 9.257735624447754885e-01 1.269869629916938435e-02
6.000000000000001166e-02 8.536225501103628099e-01 1.258974369032069343e-02
6.200000000000001343e-02 8.273735646457723858e-01 1.211808957286516011e-02
6.400000000000001521e-02 7.980317064509425684e-01 1.170958044592114618e-02
6.600000000000001699e-02 7.588353487073570269e-01 1.147467367156569835e-02
6.800000000000001876e-02 7.326481175786889732e-01 1.118605571087393120e-02
7.000000000000002054e-02 6.940415811296293258e-01 1.098251133854714900e-02
7.200000000000002232e-02 6.681835913521187997e-01 1.070105929468217684e-02
7.400000000000002409e-02 6.571571012504521248e-01 1.078461657676113052e-02
7.600000000000002587e-02 6.321050416922771031e-01 1.067181792741835229e-02
7.800000000000002764e-02 6.093724785045255832e-01 1.033409450830122429e-02
8.000000000000002942e-02 5.770344719994673355e-01 1.042251102433707811e-02
8.200000000000003120e-02 5.512118932588525588e-01 1.050550782647071205e-02
8.400000000000003297e-02 5.363423299696794544e-01 1.043974491581223241e-02
8.600000000000003475e-02 5.211224065522553905e-01 1.009927205905508836e-02
8.800000000000003653e-02 4.959239020749875437e-01 1.000025177139730187e-02
9.000000000000003830e-02 4.832954094080928464e-01 1.009448180616164502e-02
9.200000000000004008e-02 4.621849211242747835e-01 1.004078937991212915e-02
9.400000000000004186e-02 4.517163574678322857e-01 9.958644542522033377e-03
9.600000000000004363e-02 4.405936573912140330e-01 9.907611027638242585e-03
9.800000000000004541e-02 4.127504356147422837e-01 9.876031100293518675e-03
1.000000000000000056e-01 3.978353405748352167e-01 9.843225492021987974e-03
1.050000000000000100e-01 3.716174288435408202e-01 6.102428796856243336e-03
1.100000000000000144e-01 3.395370498181252139e-01 5.979922619945825940e-03
1.150000000000000189e-01 3.169358720934883911e-01 5.866261452032517539e-03
1.200000000000000233e-01 2.819742900685311415e-01 5.748722673217820413e-03
1.250000000000000278e-01 2.656087503199544009e-01 5.720371219038658875e-03
1.300000000000000322e-01 2.345977848430990109e-01 5.871330443500273957e-03
1.350000000000000366e-01 2.135819312889920829e-01 5.671365290218700894e-03
1.400000000000000411e-01 1.983832861012813364e-01 5.549019706340019981e-03
1.450000000000000455e-01 1.884021423174594978e-01 5.454996868762381629e-03
1.500000000000000500e-01 1.786349300256783457e-01 5.493040349965138715e-03
1.550000000000000544e-01 1.678356365193020838e-01 5.643415895998238861e-03
1.600000000000000588e-01 1.431790747737514413e-01 5.689146649198986196e-03
1.650000000000000633e-01 1.403403582322509113e-01 5.699477349926394820e-03
1.700000000000000677e-01 1.267042044516925869e-01 5.754546086906482151e-03
1.750000000000000722e-01 1.147663100109534845e-01 5.753165775783005732e-03
1.800000000000000766e-01 1.089910867811448580e-01 5.709601329559515874e-03
1.850000000000000810e-01 1.014140284482670934e-01 5.684576657627324336e-03
1.900000000000000855e-01 9.496232678288708817e-02 5.653448652895823497e-03
1.950000000000000899e-01 9.480410032707119183e-02 5.700550389098296526e-03
2.000000000000000944e-01 8.631755897405118949e-02 5.318856330915817596e-03
2.050000000000000988e-01 8.610446543711036682e-02 5.427977832474921958e-03
2.100000000000001033e-01 7.677853039647465627e-02 5.313851306916391251e-03
2.150000000000001077e-01 6.857175092813325157e-02 5.324757615150950418e-03
2.200000000000001121e-01 7.137932223911251650e-02 5.188756814153231041e-03
2.250000000000001166e-01 6.462060720571180528e-02 5.084229408935843526e-03
2.300000000000001210e-01 6.843858468739322243e-02 5.116428944007781789e-03
2.350000000000001255e-01 5.548597908334106099e-02 5.043219904326241322e-03
2.400000000000001299e-01 7.228180719777134444e-02 5.215196514893272184e-03
2.450000000000001343e-01 6.156328347834278542e-02 5.449801945404539154e-03
2.500000000000001110e-01 5.680514095591641249e-02 5.264271566657014768e-03
2.550000000000001155e-01 5.243531156262321719e-02 5.528655374131400714e-03
2.600000000000001199e-01 4.892158952284347134e-02 5.429525060340038671e-03
2.650000000000001243e-01 3.871108109096192684e-02 5.709532235871796722e-03
2.700000000000001288e-01 4.934527394492459196e-02 5.696634653450050913e-03
2.750000000000001332e-01 3.772654017569228996e-02 5.426543096516328601e-03
2.800000000000001377e-01 4.732676353582641188e-02 6.029415483665183199e-03
2.850000000000001421e-01 3.454887863753502986e-02 5.641777552454511555e-03
2.900000000000001465e-01 4.168250724493011844e-02 5.887452838963430461e-03
2.950000000000001510e-01 3.684974333145785846e-02 5.775402646607128744e-03
3.000000000000001554e-01 3.529513276572258246e-02 5.866513671114662390e-03
3.050000000000001599e-01 3.321222196775421714e-02 5.742210296135974446e-03
3.100000000000001643e-01 4.106653070721787840e-02 5.609399494707574541e-03
3.150000000000001688e-01 3.948632707828286792e-02 5.671623257977986832e-03
3.200000000000001732e-01 3.374041420112553619e-02 5.367899583871730239e-03
3.250000000000001776e-01 3.834664931935116011e-02 5.366475852982554272e-03
3.300000000000001821e-01 3.336697719556661057e-02 5.393839670452379477e-03
3.350000000000001865e-01 3.362408134469135890e-02 5.203223204333574242e-03
3.400000000000001910e-01 3.740619530468398957e-02 5.299261640938729596e-03
3.450000000000001954e-01 3.434179148005463839e-02 5.315703187866499882e-03
3.500000000000001998e-01 2.862053182396562256e-02 5.031213725664342509e-03
3.550000000000002043e-01 3.607487920618924343e-02 5.279542896563835241e-03
3.600000000000002087e-01 3.086424798955749588e-02 5.103122311520289466e-03
3.650000000000002132e-01 2.925226215824886997e-02 5.190947510161987750e-03
3.700000000000002176e-01 2.769721964208604267e-02 5.002602253028873985e-03
3.750000000000002220e-01 3.049838182162488420e-02 4.805775141818798869e-03
3.800000000000002265e-01 2.672655742506263241e-02 4.730576239467567529e-03
3.850000000000002309e-01 3.144241501454674015e-02 4.837318104078790031e-03
3.900000000000002354e-01 2.884209891474757287e-02 4.653377419916667618e-03
3.950000000000002398e-01 3.162875897166686490e-02 4.693941591156774659e-03
4.000000000000002442e-01 2.512139142948442705e-02 4.659161568915357737e-03
4.050000000000002487e-01 2.912234145178792602e-02 5.256501317217793928e-03
4.100000000000002531e-01 2.703321274206232569e-02 5.009528806301294900e-03
4.150000000000002576e-01 2.233865585931835498e-02 5.297267698549995227e-03
4.200000000000002620e-01 2.664291498378532769e-02 4.517782717906783201e-03
4.250000000000002665e-01 2.606665009975497188e-02 4.530879321040600163e-03
4.300000000000002709e-01 2.475522937375167210e-02 4.627673390124919031e-03
4.350000000000002753e-01 2.712121451950683104e-02 4.552653532474831843e-03
4.400000000000002798e-01 2.485444066923941930e-02 4.437284674170190700e-03
4.450000000000002842e-01 2.608002317849004298e-02 4.361417813352260787e-03
4.500000000000002887e-01 2.468731373161903511e-02 4.504655613879542456e-03
4.550000000000002931e-01 1.722846637831028024e-02 4.326851229227890623e-03
4.600000000000002975e-01 3.001646554425303412e-02 4.352087790716266044e-03
4.650000000000003020e-01 1.913613261936404977e-02 4.220652745312915635e-03
4.700000000000003064e-01 2.735496906010220775e-02 4.366461606664871417e-03
4.750000000000003109e-01 2.346631957596121906e-02 4.137581195327521937e-03
4.800000000000003153e-01 2.193464082218523833e-02 4.417638493355698082e-03
4.850000000000003197e-01 2.164488073025945536e-02 4.239045418654402257e-03
4.900000000000003242e-01 2.130864329409098631e-02 4.228533871425266613e-03
4.950000000000003286e-01 2.197010432014812747e-02 4.013826405820211489e-03
5.000000000000000000e-01 2.264833778894628780e-02 4.683837105896347837e-03
5.100000000000000089e-01 2.126221156680013769e-02 2.982968206873912436e-03
5.200000000000000178e-01 2.148011784279730760e-02 2.766594738301268470e-03
5.300000000000000266e-01 2.049658437452338278e-02 2.822680146364203464e-03
5.400000000000000355e-01 2.243661909600480273e-02 2.749675150993297762e-03
5.500000000000000444e-01 1.688048498241400200e-02 2.702581734164675141e-03
5.600000000000000533e-01 2.399640558609328692e-02 2.624838675450688868e-03
5.700000000000000622e-01 1.732173651729513805e-02 2.583286564657425594e-03
5.800000000000000711e-01 1.904040436260757280e-02 2.634206360921184480e-03
5.900000000000000799e-01 1.831688005980300696e-02 2.599808323842599331e-03
6.000000000000000888e-01 1.627127781404351034e-02 2.676574679735452961e-03
6.100000000000000977e-01 1.972240131666064961e-02 2.607991358419250918e-03
6.200000000000001066e-01 1.711388021988587138e-02 2.572100512603643467e-03
6.300000000000001155e-01 1.624551141193258247e-02 2.548472513831575789e-03
6.400000000000001243e-01 2.015421201145294050e-02 2.507509997014559667e-03
