# q_A^-1 I sigma_shared_background
6.000000000000000125e-03 7.341990821859093463e-01 7.302917829654883564e-01
7.000000000000000146e-03 7.299647629311522001e-01 3.369202513281771560e-01
8.000000000000000167e-03 6.783011033342888352e-01 2.077175657332368530e-01
9.000000000000001055e-03 3.558733264622355175e-01 1.339291677679524395e-01
1.000000000000000021e-02 3.719158605740917611e-01 1.002744094437838240e-01
1.099999999999999936e-02 2.791851098478016491e-01 8.163412251267135322e-02
1.200000000000000025e-02 3.651333969491649678e-01 7.032372473614945108e-02
1.300000000000000114e-02 4.140208421086239432e-01 6.064927513139538318e-02
1.400000000000000203e-02 3.405812249961828742e-01 5.547802217501378308e-02
1.499999999999999944e-02 4.056390710454474413e-01 4.968324040522262980e-02
1.600000000000000033e-02 3.560013173847714207e-01 4.452285026824236158e-02
1.700000000000000122e-02 3.219447229750149186e-01 4.053046226557056181e-02
1.800000000000000211e-02 4.137120956312210773e-01 3.791138599681131982e-02
1.899999999999999953e-02 3.966600290397305772e-01 3.625404332464982754e-02
2.000000000000000042e-02 3.319044820024666942e-01 3.366000265184997120e-02
2.100000000000000130e-02 3.645878962726863404e-01 3.194230843382232093e-02
2.200000000000000219e-02 3.061455330615902026e-01 3.093246306205617302e-02
2.300000000000000308e-02 3.148989918755973894e-01 2.942154457865312975e-02
2.400000000000000050e-02 2.780104439588985676e-01 2.854248677471538098e-02
2.500000000000000139e-02 3.337888611892981805e-01 2.740118107578255746e-02
2.600000000000000228e-02 3.418406643773279630e-01 2.688873491199138960e-02
2.699999999999999969e-02 3.069330217633338131e-01 2.587629786190046716e-02
2.800000000000000058e-02 3.154750017716898558e-01 2.487076719993018548e-02
2.900000000000000147e-02 3.292401828098913685e-01 2.460100913313812906e-02
3.000000000000000236e-02 3.308170734546299063e-01 2.428487325929978846e-02
3.100000000000000325e-02 3.064870991145642320e-01 2.375683587723181889e-02
3.200000000000000067e-02 3.137404317777806040e-01 2.300143745406137488e-02
3.300000000000000155e-02 3.064937327159856228e-01 2.262509713844019707e-02
3.400000000000000244e-02 2.995688924608687631e-01 2.218382833203168952e-02
3.499999999999999639e-02 2.665136882806348750e-01 2.166745005577310618e-02
3.599999999999999728e-02 2.896697879771897299e-01 2.157733002144670079e-02
3.699999999999999817e-02 2.753856894856917537e-01 2.100567628136681617e-02
3.799999999999999906e-02 2.833868455506886597e-01 2.070372005969549345e-02
3.899999999999999994e-02 2.827623020031327927e-01 2.028812239804247269e-02
4.000000000000000083e-02 2.561654837605278345e-01 2.015654579291901657e-02
4.100000000000000172e-02 2.472695794322015139e-01 1.985392672948366188e-02
4.199999999999999567e-02 2.829833986699133996e-01 1.965203191969168775e-02
