# q_A^-1 I sigma_shared_background
6.000000000000000125e-03 1.745193647024434691e+00 7.356449734798143902e-01
7.000000000000000146e-03 1.612780513607415811e+00 3.423847107883913332e-01
8.000000000000000167e-03 1.661622361104493795e+00 2.101449384905216544e-01
9.000000000000001055e-03 1.463364689015449027e+00 1.391603529740761680e-01
1.000000000000000021e-02 1.270885011916456753e+00 1.014951490191224048e-01
1.099999999999999936e-02 1.137406755856451124e+00 8.177175633352716522e-02
1.200000000000000025e-02 1.209262766650064380e+00 7.187683777664578832e-02
1.300000000000000114e-02 1.238674808298136032e+00 6.171438294673384922e-02
1.400000000000000203e-02 1.161953636621272601e+00 5.683274119740598651e-02
1.499999999999999944e-02 1.182395871361066497e+00 5.100959743558184517e-02
1.600000000000000033e-02 1.186234771758752693e+00 4.665071605180099584e-02
1.700000000000000122e-02 1.226266260452539836e+00 4.258421669495705830e-02
1.800000000000000211e-02 1.135388167515054336e+00 3.984771303070440418e-02
1.899999999999999953e-02 1.134520630238673222e+00 3.764695374990371241e-02
2.000000000000000042e-02 1.093247695339278902e+00 3.507312792985629868e-02
2.100000000000000130e-02 1.156317085445080828e+00 3.370084642337861647e-02
2.200000000000000219e-02 1.151492039950854362e+00 3.227130262497725222e-02
2.300000000000000308e-02 1.093024717285507652e+00 3.059325806730736966e-02
2.400000000000000050e-02 1.080298625335505802e+00 2.967161204491298998e-02
2.500000000000000139e-02 1.073437726297371775e+00 2.881299050608916029e-02
2.600000000000000228e-02 1.032614271905639258e+00 2.791587298321081961e-02
2.699999999999999969e-02 1.029629785098485684e+00 2.714694527323532197e-02
2.800000000000000058e-02 1.050140970209790137e+00 2.627783761705411100e-02
2.900000000000000147e-02 1.029250761083583932e+00 2.578642709916218953e-02
3.000000000000000236e-02 1.029409838089994755e+00 2.529784763439851814e-02
3.100000000000000325e-02 9.919938285488347773e-01 2.470213634445934600e-02
3.200000000000000067e-02 9.892016842809465693e-01 2.427187377393174791e-02
3.300000000000000155e-02 9.897891968552215980e-01 2.365100491640616601e-02
3.400000000000000244e-02 9.392619038292753242e-01 2.312854085088750927e-02
3.499999999999999639e-02 9.295527026785128655e-01 2.267568329549943945e-02
3.599999999999999728e-02 9.581751325761098670e-01 2.251101239086852890e-02
3.699999999999999817e-02 9.126364312435291115e-01 2.219191248913157666e-02
3.799999999999999906e-02 9.256136606593857730e-01 2.177439419047439220e-02
3.899999999999999994e-02 8.937129415036706437e-01 2.123591297928358393e-02
4.000000000000000083e-02 8.770401077654230715e-01 2.105264890566114697e-02
4.100000000000000172e-02 8.512644420740382856e-01 2.064118546809416699e-02
4.199999999999999567e-02 8.473311345279499474e-01 2.053914030889054249e-02
4.299999999999999656e-02 8.066061303465119625e-01 2.001702680440220136e-02
4.399999999999999745e-02 7.851662983212911451e-01 1.973819624365899875e-02
4.499999999999999833e-02 8.325253649355127683e-01 1.980630588431277206e-02
4.599999999999999922e-02 7.542748561135769192e-01 1.923103577314760199e-02
4.700000000000000011e-02 7.914649520623096013e-01 1.884370346724326475e-02
4.800000000000000100e-02 7.854841601618096636e-01 1.850242969909073054e-02
4.899999999999999495e-02 7.316731002991824218e-01 1.851639210169275795e-02
5.000000000000000278e-02 7.202542761427002116e-01 1.819957195359025309e-02
5.200000000000000455e-02 7.042526367498460615e-01 1.259411322599945753e-02
5.400000000000000633e-02 6.604670945564815598e-01 1.219324195959036600e-02
5.600000000000000810e-02 6.363032507532243587e-01 1.232422729780565870e-02
5.800000000000000988e-02 6.238347732118134648e-01 1.246414564086177970e-02
6.000000000000001166e-02 5.934242152737473353e-01 1.237714442937478537e-02
6.200000000000001343e-02 5.756113572292651526e-01 1.191975056794915278e-02
6.400000000000001521e-02 5.496136881404029007e-01 1.154577286403869057e-02
6.600000000000001699e-02 5.421493105159446158e-01 1.131478996264920558e-02
6.800000000000001876e-02 5.017616087620898613e-01 1.096927538578404242e-02
7.000000000000002054e-02 4.913894277918219311e-01 1.081169623792020348e-02
7.200000000000002232e-02 4.645615069719319923e-01 1.057388675134366546e-02
7.400000000000002409e-02 4.570794909204272116e-01 1.065110239357035422e-02
7.600000000000002587e-02 4.345727713323622177e-01 1.050866313099109786e-02
7.800000000000002764e-02 4.192158956333648656e-01 1.024755218476932142e-02
8.000000000000002942e-02 4.049639070944584529e-01 1.034070407024377698e-02
8.200000000000003120e-02 3.994730550248591916e-01 1.043107817872078284e-02
8.400000000000003297e-02 3.768322069072412295e-01 1.031434479736519604e-02
8.600000000000003475e-02 3.585300114931199711e-01 9.956630477892799286e-03
8.800000000000003653e-02 3.486253185509192720e-01 9.897024280611236430e-03
9.000000000000003830e-02 3.406738281245309530e-01 9.992501241980648180e-03
9.200000000000004008e-02 3.292517074797627341e-01 9.946196662580958012e-03
9.400000000000004186e-02 3.049255274654471548e-01 9.819802729488447818e-03
9.600000000000004363e-02 2.957658508417514986e-01 9.797119220167320106e-03
9.800000000000004541e-02 2.936538202126487973e-01 9.790285333813830010e-03
1.000000000000000056e-01 2.666334426369793009e-01 9.736441938629413970e-03
1.050000000000000100e-01 2.618533437523687946e-01 6.049113485184038838e-03
1.100000000000000144e-01 2.480926254872179160e-01 5.940630520297349171e-03
1.150000000000000189e-01 2.217914884235455686e-01 5.814367653105291175e-03
1.200000000000000233e-01 2.032634271530874004e-01 5.713013548268817791e-03
1.250000000000000278e-01 1.807982663879134921e-01 5.686281785994852164e-03
1.300000000000000322e-01 1.759941372705189633e-01 5.852186379417776384e-03
1.350000000000000366e-01 1.573258206799461323e-01 5.642949267241911294e-03
1.400000000000000411e-01 1.420037247863564778e-01 5.523324934990982669e-03
1.450000000000000455e-01 1.242836390124171658e-01 5.423045875348719326e-03
1.500000000000000500e-01 1.178793789817201565e-01 5.465954401147454962e-03
1.550000000000000544e-01 1.161697798230462847e-01 5.623608871268771098e-03
1.600000000000000588e-01 1.090249849210981475e-01 5.671806954636806827e-03
1.650000000000000633e-01 1.073285918678291845e-01 5.700445093201666168e-03
1.700000000000000677e-01 9.133026474216862645e-02 5.737498822298370618e-03
1.750000000000000722e-01 8.416890088800967062e-02 5.746498385030369624e-03
1.800000000000000766e-01 8.770273062779437856e-02 5.714705396040197644e-03
1.850000000000000810e-01 7.854454085106089833e-02 5.674698722009957619e-03
1.900000000000000855e-01 6.624259405199153794e-02 5.633141431291986863e-03
1.950000000000000899e-01 6.969499062061819405e-02 5.684903915692071479e-03
2.000000000000000944e-01 6.408695294433926215e-02 5.243291733940875707e-03
2.050000000000000988e-01 5.539320651367676124e-02 5.396383376414110207e-03
2.100000000000001033e-01 5.334380941460543230e-02 5.338390641557737640e-03
2.150000000000001077e-01 4.788593929273612243e-02 5.363755273301133025e-03
2.200000000000001121e-01 4.980819009547669818e-02 5.187982959905118770e-03
2.250000000000001166e-01 4.922630412191088267e-02 5.034547053197546522e-03
2.300000000000001210e-01 4.388521452008437712e-02 5.139551783093554427e-03
2.350000000000001255e-01 4.065503553248461105e-02 5.060510037359396661e-03
2.400000000000001299e-01 4.724698865894299410e-02 5.255996791065480241e-03
2.450000000000001343e-01 3.736798789674404542e-02 5.359041053519830212e-03
2.500000000000001110e-01 3.659722089452319832e-02 5.234575016057091412e-03
2.550000000000001155e-01 3.774664097755135728e-02 5.600196783260085256e-03
2.600000000000001199e-01 3.234485191908773039e-02 5.418199560096130345e-03
2.650000000000001243e-01 3.496820319598018673e-02 5.601934239684517279e-03
2.700000000000001288e-01 3.742789383924886165e-02 5.883334860941181674e-03
2.750000000000001332e-01 3.512689075846055220e-02 5.482264095205413579e-03
2.800000000000001377e-01 2.904042859511997421e-02 6.081714683794116165e-03
2.850000000000001421e-01 1.726350622406280094e-02 5.568230569798422389e-03
2.900000000000001465e-01 3.038553332566182319e-02 5.844574109795699392e-03
2.950000000000001510e-01 2.681599993177378322e-02 5.735578313405504530e-03
3.000000000000001554e-01 2.773745757182989602e-02 5.806260674405741909e-03
3.050000000000001599e-01 2.450167902105085393e-02 5.585082826980777154e-03
3.100000000000001643e-01 3.259370374869582920e-02 5.697942574667676403e-03
3.150000000000001688e-01 3.207058426107321780e-02 5.625505229698675273e-03
3.200000000000001732e-01 3.010461710775541588e-02 5.383887782564709609e-03
3.250000000000001776e-01 2.079194260775267533e-02 5.421138687146880020e-03
3.300000000000001821e-01 2.577203459875975280e-02 5.476604982326618853e-03
3.350000000000001865e-01 2.564332932349136854e-02 5.292504811397266175e-03
3.400000000000001910e-01 2.997975884784495615e-02 5.253566807710825619e-03
3.450000000000001954e-01 2.172498089954948142e-02 5.431841386018591844e-03
3.500000000000001998e-01 2.008657519353801435e-02 4.910312866097552194e-03
3.550000000000002043e-01 2.435132767823210143e-02 5.150971679352360673e-03
3.600000000000002087e-01 2.378619335693143641e-02 5.060921282557047547e-03
3.650000000000002132e-01 1.693327460404710910e-02 5.133891104017502746e-03
3.700000000000002176e-01 2.166251861683130692e-02 5.048575957816308496e-03
3.750000000000002220e-01 2.038464240068374109e-02 4.842744676962586203e-03
3.800000000000002265e-01 1.794805477507442973e-02 4.872666588811983002e-03
3.850000000000002309e-01 2.138762808093279399e-02 4.876140343048789190e-03
3.900000000000002354e-01 1.816640861516906694e-02 4.595850205146684644e-03
3.950000000000002398e-01 2.325402271607848737e-02 4.777994055483930635e-03
4.000000000000002442e-01 1.504376239636845414e-02 4.609793872514842544e-03
4.050000000000002487e-01 2.302230488043470469e-02 5.165277677029422344e-03
4.100000000000002531e-01 2.319552935601532431e-02 4.997225711880080162e-03
4.150000000000002576e-01 1.284010487919410616e-02 5.223969455971519404e-03
4.200000000000002620e-01 1.703076997178021301e-02 4.548447223245583211e-03
4.250000000000002665e-01 1.590580506444458711e-02 4.495942972911867556e-03
4.300000000000002709e-01 1.277225363010491867e-02 4.599155119740153293e-03
4.350000000000002753e-01 1.516186272358292439e-02 4.587838040763663611e-03
4.400000000000002798e-01 1.847024583303669837e-02 4.491396893550105365e-03
4.450000000000002842e-01 1.714369221753281325e-02 4.325892767117442070e-03
4.500000000000002887e-01 1.794566768317440442e-02 4.472967233540987332e-03
4.550000000000002931e-01 9.954838709696397711e-03 4.320899656087694163e-03
4.600000000000002975e-01 1.923270417016989184e-02 4.313024642502189844e-03
4.650000000000003020e-01 1.400439591402509280e-02 4.255258912079953708e-03
4.700000000000003064e-01 1.573578350388750782e-02 4.396468571270122083e-03
4.750000000000003109e-01 1.232155125306027589e-02 4.119203233003547113e-03
4.800000000000003153e-01 1.675904372763754868e-02 4.429950501022051311e-03
4.850000000000003197e-01 1.479219121890576819e-02 4.146507662319168924e-03
4.900000000000003242e-01 1.019935127742730915e-02 4.239236361282894619e-03
4.950000000000003286e-01 1.350801979560536936e-02 3.990537742887665176e-03
5.000000000000000000e-01 1.642011301461440351e-02 4.726069801181533719e-03
5.100000000000000089e-01 1.426473852431059397e-02 2.991666601451973759e-03
5.200000000000000178e-01 1.644852946325137122e-02 2.770053132004631803e-03
5.300000000000000266e-01 1.246592554870462090e-02 2.815656074907154412e-03
5.400000000000000355e-01 1.587022871803828519e-02 2.752353730198128876e-03
5.500000000000000444e-01 1.423578190166398250e-02 2.695035588624807889e-03
5.600000000000000533e-01 1.679627724150308671e-02 2.615386544096210287e-03
5.700000000000000622e-01 1.302271465151598126e-02 2.598448746056478045e-03
5.800000000000000711e-01 1.443684977180055909e-02 2.627192676936017206e-03
5.900000000000000799e-01 1.255023656830933643e-02 2.596494082748984720e-03
6.000000000000000888e-01 1.192359626202542378e-02 2.670317533627915903e-03
6.100000000000000977e-01 1.664802392850861165e-02 2.603961747842198447e-03
6.200000000000001066e-01 1.254705255392079763e-02 2.551347302198385923e-03
6.300000000000001155e-01 1.414134582173883110e-02 2.534376546504052592e-03
6.400000000000001243e-01 1.144867932228705275e-02 2.476287754997037738e-03
6.500000000000001332e-01 1.241678986845132747e-02 2.471731241654868440e-03
6.600000000000001421e-01 1.381014551739828157e-02 2.438220195384848982e-03
6.700000000000001510e-01 1.402646751049910732e-02 2.506141308853427133e-03
6.800000000000001599e-01 1.244385213619618631e-02 2.451012554109166346e-03
6.900000000000001688e-01 7.763018712583036850e-03 2.465294475356529999e-03
7.000000000000001776e-01 1.220028447397415554e-02 2.465946969910772467e-03
7.100000000000001865e-01 1.038177168338656753e-02 2.431074638249816795e-03
7.200000000000001954e-01 9.019976605533405398e-03 2.486445875255761852e-03
7.300000000000002043e-01 8.286732652143592379e-03 2.473788565951084810e-03
7.400000000000002132e-01 1.177308879001634501e-02 2.478665236788179897e-03
7.500000000000002220e-01 1.154831860426033807e-02 2.443785853242484880e-03
7.600000000000002309e-01 1.084495646492175669e-02 2.460028646391429052e-03
7.700000000000002398e-01 1.311352634251039366e-02 2.500236303315260360e-03
7.800000000000002487e-01 8.823676207710967265e-03 2.546198895982316069e-03
7.900000000000002576e-01 1.136183440392205500e-02 2.561258157725065931e-03
8.000000000000002665e-01 9.678847265791637802e-03 2.525732015977528912e-03
8.100000000000002753e-01 1.014139065510341088e-02 2.506241113208310112e-03
8.200000000000002842e-01 7.407021231404253142e-03 2.524945564475629661e-03
8.300000000000002931e-01 1.024630748529546144e-02 2.581219461826394015e-03
8.400000000000003020e-01 8.925138007957396022e-03 2.608312113303246343e-03
8.500000000000003109e-01 1.048558302785752676e-02 2.592488859475996880e-03
8.600000000000003197e-01 7.364851950170111378e-03 2.595948023570787081e-03
8.700000000000003286e-01 8.248673846188669251e-03 2.600912806759838984e-03
8.800000000000003375e-01 1.005653348902403078e-02 2.534383952530481002e-03
8.900000000000003464e-01 1.108948265619658265e-02 2.457365321679008067e-03
9.000000000000003553e-01 1.103750632862124555e-02 2.452975677672589953e-03
9.100000000000003642e-01 1.003400071306317226e-02 2.497026754683811384e-03
9.200000000000003730e-01 8.185058133358080051e-03 2.455046321446097829e-03
9.300000000000003819e-01 1.000896918398629099e-02 2.466325402641657977e-03
9.400000000000003908e-01 7.753585923777850560e-03 2.462516425429486441e-03
9.500000000000003997e-01 9.421396100323491118e-03 2.515448815138415090e-03
9.600000000000004086e-01 4.661985282532374666e-03 2.507994736932504971e-03
9.700000000000004174e-01 1.061027869212072088e-02 2.535379110208514555e-03
9.800000000000004263e-01 8.757874860701628586e-03 2.604226425443082089e-03
9.900000000000004352e-01 8.695505764030931478e-03 2.618180953119589663e-03
1.000000000000000000e+00 9.770754463579453888e-03 2.660623284510240001e-03
1.030000000000000027e+00 9.119279776302439966e-03 1.644512344470239976e-03
1.060000000000000053e+00 8.439386007784452012e-03 1.743146238759296510e-03
1.090000000000000080e+00 9.267273339360957221e-03 1.837764962408955458e-03
1.120000000000000107e+00 8.162011490295903102e-03 1.827703337353761429e-03
1.150000000000000133e+00 8.418572620041295251e-03 1.845413859961564590e-03
1.180000000000000160e+00 1.108621951040150884e-02 2.117269646577253292e-03
1.210000000000000187e+00 9.276463380834820693e-03 2.371106391222398656e-03
1.240000000000000213e+00 1.028209620220838817e-02 2.557350197251035285e-03
1.270000000000000240e+00 1.056405520561954671e-02 2.780136180723993822e-03
1.300000000000000266e+00 1.018411850014678058e-02 3.042078711076804352e-03
1.330000000000000293e+00 1.012415011349325836e-02 3.425205040555265919e-03
1.360000000000000320e+00 1.082582838910225477e-02 3.848620363481014463e-03
