# q_A^-1 I sigma_shared_background
6.000000000000000125e-03 3.839846616511567667e+00 6.985062107832993306e-01
7.000000000000000146e-03 3.048678912867670121e+00 3.263917814234907344e-01
8.000000000000000167e-03 2.614587621820853247e+00 1.984897650393815938e-01
9.000000000000001055e-03 2.420544100600365844e+00 1.301419534850245530e-01
1.000000000000000021e-02 2.213189734679383847e+00 9.659905794145841329e-02
1.099999999999999936e-02 2.009436963187370306e+00 7.880642036956775343e-02
1.200000000000000025e-02 1.990729753016686976e+00 6.803894718469249980e-02
1.300000000000000114e-02 1.901093232931212240e+00 5.998806733949665904e-02
1.400000000000000203e-02 2.003805763788018446e+00 5.401292439712179760e-02
1.499999999999999944e-02 1.958512359839629235e+00 4.962140412641227044e-02
1.600000000000000033e-02 1.858386917040872222e+00 4.518421296149573857e-02
1.700000000000000122e-02 1.881572912106556084e+00 4.111195418716723227e-02
1.800000000000000211e-02 1.856973796175353408e+00 3.812729569525762086e-02
1.899999999999999953e-02 1.798602137992539651e+00 3.648666949458229114e-02
2.000000000000000042e-02 1.828798679664084492e+00 3.476406526779250022e-02
2.100000000000000130e-02 1.791615327443250694e+00 3.278278766872459032e-02
2.200000000000000219e-02 1.713092004039095118e+00 3.152897219467055284e-02
2.300000000000000308e-02 1.714873448733958972e+00 3.009202064889305098e-02
2.400000000000000050e-02 1.667994732737758223e+00 2.912091943554528245e-02
2.500000000000000139e-02 1.666410619149174099e+00 2.806804224598147268e-02
2.600000000000000228e-02 1.644083518398415267e+00 2.763020233195470979e-02
2.699999999999999969e-02 1.612268299365382518e+00 2.669721524531482038e-02
2.800000000000000058e-02 1.607601084250178003e+00 2.570642531286557175e-02
2.900000000000000147e-02 1.574253261913126867e+00 2.533393431822812333e-02
3.000000000000000236e-02 1.557268629455859976e+00 2.484750251834153337e-02
3.100000000000000325e-02 1.560408671296431349e+00 2.426577639793115262e-02
3.200000000000000067e-02 1.520170602121557524e+00 2.365490608569961045e-02
3.300000000000000155e-02 1.495526175715791606e+00 2.315259072463701079e-02
3.400000000000000244e-02 1.435997684600082369e+00 2.255070974622284605e-02
3.499999999999999639e-02 1.488193815554189614e+00 2.236943790754459052e-02
3.599999999999999728e-02 1.414302785011543495e+00 2.186897715305553130e-02
3.699999999999999817e-02 1.419869579624671641e+00 2.158442189014781951e-02
3.799999999999999906e-02 1.352514191551327460e+00 2.127416505419071902e-02
3.899999999999999994e-02 1.341625275376191251e+00 2.080658192154931363e-02
4.000000000000000083e-02 1.340058211121583520e+00 2.061739702880700451e-02
4.100000000000000172e-02 1.276822319737193734e+00 2.025738261803801746e-02
4.199999999999999567e-02 1.315468396769817749e+00 2.000997214851646389e-02
4.299999999999999656e-02 1.257140199995977259e+00 1.944399944302397168e-02
4.399999999999999745e-02 1.198142742671216787e+00 1.922212855300465054e-02
4.499999999999999833e-02 1.199998131656801359e+00 1.917589203333470646e-02
4.599999999999999922e-02 1.193377589112545545e+00 1.872040904189503988e-02
4.700000000000000011e-02 1.170853899308175405e+00 1.829715017527430015e-02
4.800000000000000100e-02 1.133875490151378340e+00 1.802669358924621421e-02
4.899999999999999495e-02 1.090996077273383769e+00 1.787166849340331501e-02
5.000000000000000278e-02 1.074916299089051064e+00 1.761649730035852804e-02
5.200000000000000455e-02 1.045210228304209066e+00 1.224012963018050390e-02
5.400000000000000633e-02 1.007337448037567640e+00 1.191917896683306922e-02
5.600000000000000810e-02 9.482238508818912059e-01 1.187339783144708387e-02
5.800000000000000988e-02 9.504091869681919880e-01 1.208440792429005088e-02
6.000000000000001166e-02 8.749673070328866098e-01 1.198019184972964543e-02
6.200000000000001343e-02 8.530236674739715141e-01 1.150566875695231174e-02
6.400000000000001521e-02 8.183120562581750468e-01 1.113231135689498122e-02
6.600000000000001699e-02 7.755061362180416529e-01 1.090869462116479151e-02
6.800000000000001876e-02 7.549281428996664767e-01 1.062895154509618106e-02
7.000000000000002054e-02 7.078679380423493761e-01 1.043064670804070768e-02
7.200000000000002232e-02 6.933822450426260220e-01 1.016759922717012411e-02
7.400000000000002409e-02 6.700615304188675125e-01 1.024231433371044012e-02
7.600000000000002587e-02 6.407320776415327268e-01 1.013672921140916679e-02
7.800000000000002764e-02 6.154914204949805123e-01 9.811021477154562020e-03
8.000000000000002942e-02 5.991760848607575740e-01 9.893056447473116619e-03
8.200000000000003120e-02 5.677301285281413090e-01 9.968869174737632344e-03
8.400000000000003297e-02 5.490711466904331095e-01 9.906651887809573079e-03
8.600000000000003475e-02 5.370569363236304961e-01 9.585053131225339251e-03
8.800000000000003653e-02 5.120831963893612837e-01 9.491618408358132308e-03
9.000000000000003830e-02 4.850046260136040566e-01 9.576133957759773094e-03
9.200000000000004008e-02 4.675826901060037288e-01 9.520782594172161328e-03
9.400000000000004186e-02 4.572429815920390772e-01 9.448964886552255887e-03
9.600000000000004363e-02 4.485088935120052356e-01 9.396200929783096387e-03
9.800000000000004541e-02 4.202050308209539509e-01 9.366562349131050610e-03
1.000000000000000056e-01 4.098207996464700575e-01 9.333866371537179185e-03
1.050000000000000100e-01 3.780799584018377790e-01 5.786383887069734486e-03
1.100000000000000144e-01 3.429078349075905252e-01 5.666737011147985129e-03
1.150000000000000189e-01 3.222424890301189282e-01 5.561894699328077604e-03
1.200000000000000233e-01 2.875672435819444650e-01 5.446662164392545268e-03
1.250000000000000278e-01 2.721879324331156758e-01 5.416857271284660283e-03
1.300000000000000322e-01 2.393130691582406044e-01 5.559032293294842615e-03
1.350000000000000366e-01 2.244841586838828007e-01 5.363964182208331467e-03
1.400000000000000411e-01 2.042209691304241181e-01 5.251060331647051070e-03
1.450000000000000455e-01 1.936708657829785130e-01 5.162691593810599285e-03
1.500000000000000500e-01 1.860813432742275120e-01 5.197532891658592814e-03
1.550000000000000544e-01 1.709322289617286883e-01 5.343431172479326009e-03
1.600000000000000588e-01 1.473756216424496057e-01 5.442236209671255653e-03
1.650000000000000633e-01 1.443250699871899689e-01 5.390999325793580099e-03
1.700000000000000677e-01 1.318218305236165955e-01 5.444034531727589415e-03
1.750000000000000722e-01 1.225798033102028922e-01 5.440118851775834624e-03
1.800000000000000766e-01 1.125297281188814974e-01 5.402317285133261850e-03
1.850000000000000810e-01 1.058077771812824114e-01 5.374214394262765218e-03
1.900000000000000855e-01 9.611140826581469898e-02 5.345732304623302018e-03
1.950000000000000899e-01 9.775329779676489306e-02 5.391807115763308858e-03
2.000000000000000944e-01 9.310664743373152363e-02 5.030153378058864477e-03
2.050000000000000988e-01 8.483090043871185926e-02 5.129495324322921358e-03
2.100000000000001033e-01 7.947120605099773638e-02 5.039746775544651398e-03
2.150000000000001077e-01 6.961427151813172343e-02 5.025377301456690482e-03
2.200000000000001121e-01 7.009695334853070781e-02 4.907710449771163913e-03
