# q_A^-1 I sigma_shared_background
6.000000000000000125e-03 2.636320944814985356e+00 6.957837859297697491e-01
7.000000000000000146e-03 2.272517950209648419e+00 3.243311783651932623e-01
8.000000000000000167e-03 2.095463607803291328e+00 1.984579432745295913e-01
9.000000000000001055e-03 1.919461515122808271e+00 1.320386092582980786e-01
1.000000000000000021e-02 1.680028789728294614e+00 9.586776131415482294e-02
1.099999999999999936e-02 1.532998145563007064e+00 7.716379969849902765e-02
1.200000000000000025e-02 1.459964613832449132e+00 6.817444270280491325e-02
1.300000000000000114e-02 1.380500944682879982e+00 5.857938513988944496e-02
1.400000000000000203e-02 1.380277328088787669e+00 5.374767934358161414e-02
1.499999999999999944e-02 1.360531325335281316e+00 4.836864105287153742e-02
1.600000000000000033e-02 1.323282057883679474e+00 4.433019980628022383e-02
1.700000000000000122e-02 1.378891997352487797e+00 4.045125924270433215e-02
1.800000000000000211e-02 1.303657535851705962e+00 3.783234843850821066e-02
1.899999999999999953e-02 1.261030883660071433e+00 3.574955666963801348e-02
2.000000000000000042e-02 1.218790998075747867e+00 3.340010318813176060e-02
2.100000000000000130e-02 1.271371421682583991e+00 3.202791141187971702e-02
2.200000000000000219e-02 1.238553784635925581e+00 3.071806124415482619e-02
2.300000000000000308e-02 1.210895364522542206e+00 2.902716894769413747e-02
2.400000000000000050e-02 1.188574166967087065e+00 2.821140198186484691e-02
2.500000000000000139e-02 1.167639505348032625e+00 2.740516722143492706e-02
2.600000000000000228e-02 1.115936773857895137e+00 2.655159149669741869e-02
2.699999999999999969e-02 1.092635689930753440e+00 2.579768526296088993e-02
2.800000000000000058e-02 1.120441673915029801e+00 2.497393049773489679e-02
2.900000000000000147e-02 1.099204028903517871e+00 2.452232893749181977e-02
3.000000000000000236e-02 1.094591428516010101e+00 2.401895856536885934e-02
3.100000000000000325e-02 1.065385297161847822e+00 2.352216420452003451e-02
3.200000000000000067e-02 1.061812194271125387e+00 2.309476962250273449e-02
3.300000000000000155e-02 1.046942443496320374e+00 2.251766792192289035e-02
3.400000000000000244e-02 1.008810497261316996e+00 2.197154592899922335e-02
3.499999999999999639e-02 9.979351704017935809e-01 2.155972544042078845e-02
3.599999999999999728e-02 1.010093288631099151e+00 2.141519338770524541e-02
3.699999999999999817e-02 9.714361272338153386e-01 2.107725467708294886e-02
3.799999999999999906e-02 9.653630929453873577e-01 2.072135265200094820e-02
3.899999999999999994e-02 9.297625252927458339e-01 2.020943733727191549e-02
4.000000000000000083e-02 9.275371721341794107e-01 2.003903058790328789e-02
4.100000000000000172e-02 9.027773944525794292e-01 1.961303447644074244e-02
4.199999999999999567e-02 8.899282985981756822e-01 1.952170653847252677e-02
4.299999999999999656e-02 8.445130541658569800e-01 1.902023008260610853e-02
4.399999999999999745e-02 8.286441410309497435e-01 1.876302722104079487e-02
4.499999999999999833e-02 8.715314533644630268e-01 1.884389077049181821e-02
4.599999999999999922e-02 7.851369560752460286e-01 1.827453401053787813e-02
4.700000000000000011e-02 8.043703231385808117e-01 1.793551427218655764e-02
4.800000000000000100e-02 7.937643516974508540e-01 1.759251416185197633e-02
4.899999999999999495e-02 7.570607957772814700e-01 1.760425437046375663e-02
5.000000000000000278e-02 7.457943932938025933e-01 1.732185700768675007e-02
5.200000000000000455e-02 7.245084149248701699e-01 1.196492091224911347e-02
5.400000000000000633e-02 6.928789351685367137e-01 1.158873524420865782e-02
5.600000000000000810e-02 6.598186167849461325e-01 1.169891384182959217e-02
5.800000000000000988e-02 6.484703977352299642e-01 1.183769207821861076e-02
6.000000000000001166e-02 6.147689721962711351e-01 1.175657496016430104e-02
6.200000000000001343e-02 6.012614600574643919e-01 1.129658232612188590e-02
6.400000000000001521e-02 5.698940379476353790e-01 1.095987923999741306e-02
6.600000000000001699e-02 5.588200980266292417e-01 1.074038893000499664e-02
6.800000000000001876e-02 5.240416340830673647e-01 1.040056590144953705e-02
7.000000000000002054e-02 5.052157847045419814e-01 1.025063954042388682e-02
7.200000000000002232e-02 4.897601606624390480e-01 1.003366757702724328e-02
7.400000000000002409e-02 4.699839200888425994e-01 1.010163503602756058e-02
7.600000000000002587e-02 4.431998072816178968e-01 9.964817210070630107e-03
7.800000000000002764e-02 4.253348376238199613e-01 9.719822986981660820e-03
8.000000000000002942e-02 4.271055199557483584e-01 9.806833866687951484e-03
8.200000000000003120e-02 4.159912902941480528e-01 9.890401907990476263e-03
8.400000000000003297e-02 3.895610236279951066e-01 9.774414883661741368e-03
8.600000000000003475e-02 3.744645412644950211e-01 9.434640315290544754e-03
8.800000000000003653e-02 3.647846128652928455e-01 9.382796711511787527e-03
9.000000000000003830e-02 3.423830447300422186e-01 9.468572210899393188e-03
9.200000000000004008e-02 3.346494764614916795e-01 9.420970113765992152e-03
9.400000000000004186e-02 3.104521515896540018e-01 9.302519118446485671e-03
9.600000000000004363e-02 3.036810869625427012e-01 9.279621794666513199e-03
9.800000000000004541e-02 3.011084154188604090e-01 9.276108390035378917e-03
1.000000000000000056e-01 2.786189017086141972e-01 9.221186202394071260e-03
1.050000000000000100e-01 2.683158733106657534e-01 5.730128726693258651e-03
1.100000000000000144e-01 2.514634105766831995e-01 5.625257753353441088e-03
1.150000000000000189e-01 2.270981053601761057e-01 5.507133594556085782e-03
1.200000000000000233e-01 2.088563806665006406e-01 5.408959249445286117e-03
1.250000000000000278e-01 1.873774485010747670e-01 5.380845320542161810e-03
1.300000000000000322e-01 1.807094215856605290e-01 5.538808922554084441e-03
1.350000000000000366e-01 1.682280480748368223e-01 5.333910753432462987e-03
1.400000000000000411e-01 1.478414078154992872e-01 5.223900194561578725e-03
1.450000000000000455e-01 1.295523624779361949e-01 5.128919985799350149e-03
1.500000000000000500e-01 1.253257922302694338e-01 5.168898663056862783e-03
1.550000000000000544e-01 1.192663722654728614e-01 5.322507910452647061e-03
1.600000000000000588e-01 1.132215317897962842e-01 5.424107253404135409e-03
1.650000000000000633e-01 1.113133036227683115e-01 5.392022434021373316e-03
1.700000000000000677e-01 9.644789081409271825e-02 5.426011799856956391e-03
1.750000000000000722e-01 9.198239418725914773e-02 5.433067307420606090e-03
1.800000000000000766e-01 9.124137196553101792e-02 5.407711389328462639e-03
1.850000000000000810e-01 8.293828958407621632e-02 5.363764924438905665e-03
1.900000000000000855e-01 6.739167553491914875e-02 5.324251551786588106e-03
1.950000000000000899e-01 7.264418809031190916e-02 5.375262018320423746e-03
2.000000000000000944e-01 7.087604140401959629e-02 4.950183688014662096e-03
2.050000000000000988e-01 5.411964151527828143e-02 5.096050674556732059e-03
2.100000000000001033e-01 5.603648506912849159e-02 5.065614127770384084e-03
2.150000000000001077e-01 4.892845988273459429e-02 5.066679780068384167e-03
2.200000000000001121e-01 4.852582120489490336e-02 4.906892272573075593e-03
2.250000000000001166e-01 4.562346616309790465e-02 4.780825042600552258e-03
2.300000000000001210e-01 4.438887201387400200e-02 4.849313899773278515e-03
2.350000000000001255e-01 4.364103596078179603e-02 4.778574341443443674e-03
2.400000000000001299e-01 4.886056257275962073e-02 4.977022299547577931e-03
2.450000000000001343e-01 3.772443320835536934e-02 5.058155472371594907e-03
2.500000000000001110e-01 3.637277388606157541e-02 4.952072938616028722e-03
2.550000000000001155e-01 3.535096919597022908e-02 5.304101225530776648e-03
2.600000000000001199e-01 3.501918840676226941e-02 5.140169034595666597e-03
2.650000000000001243e-01 3.591807861938791507e-02 5.306635392990304879e-03
2.700000000000001288e-01 3.891875062230425175e-02 5.587310950169962522e-03
2.750000000000001332e-01 3.712351617926449437e-02 5.204033893255305930e-03
2.800000000000001377e-01 3.156396893186905195e-02 5.750676534565716917e-03
2.850000000000001421e-01 2.527066647375615649e-02 5.289912094204353432e-03
2.900000000000001465e-01 3.601968089747075580e-02 5.496573957360465466e-03
2.950000000000001510e-01 2.911861730023355271e-02 5.421321939742170144e-03
3.000000000000001554e-01 3.274724062432299992e-02 5.478761932598014833e-03
3.050000000000001599e-01 2.829392010860426812e-02 5.291525299461585785e-03
