# q I sigma extended_fit
1.200000000000000025e-02 4.588238885362946107e+00 1.003095632701395540e-01 4.415411644375987876e+00
1.300000000000000114e-02 4.469279034285722929e+00 8.415010858375988889e-02 4.379089242765511258e+00
1.400000000000000203e-02 4.386853950131274438e+00 7.199978343656443514e-02 4.340297270100150762e+00
1.499999999999999944e-02 4.359066183764361391e+00 6.175241719616826608e-02 4.299129852469593338e+00
1.600000000000000033e-02 4.342341553708105373e+00 5.365414280169197164e-02 4.255685785372240737e+00
1.700000000000000122e-02 4.282309215814241732e+00 4.804314373829548374e-02 4.210068097387082098e+00
1.800000000000000211e-02 4.258295721412491019e+00 4.359660199910898870e-02 4.162383601928137722e+00
1.899999999999999953e-02 4.121736014406912396e+00 4.016870544413016914e-02 4.112742440046443626e+00
2.000000000000000042e-02 4.098212522109698774e+00 3.660852770932223471e-02 4.061257617244639739e+00
2.100000000000000130e-02 4.029379203568740131e+00 3.435443689626670877e-02 4.008044537243262262e+00
2.200000000000000219e-02 3.985334420256418486e+00 3.233820573672616105e-02 3.953220535586934758e+00
2.300000000000000308e-02 3.907943674675809387e+00 3.019517279836471738e-02 3.896904415903895913e+00
2.400000000000000050e-02 3.899130205913288627e+00 2.862600320934637760e-02 3.839215991535190664e+00
2.500000000000000139e-02 3.787850423480814133e+00 2.737946400174750758e-02 3.780275635132055445e+00
2.600000000000000228e-02 3.714055714350192439e+00 2.613762059760051104e-02 3.720203838683392661e+00
2.699999999999999969e-02 3.682294487449317089e+00 2.509503164476447820e-02 3.659120786281765181e+00
2.800000000000000058e-02 3.620762505893309502e+00 2.361784615340086976e-02 3.597145941768189470e+00
2.900000000000000147e-02 3.517024600916207167e+00 2.316399716684366950e-02 3.534397653215416213e+00
3.000000000000000236e-02 3.462359986207777851e+00 2.247522689750588998e-02 3.470992776018603010e+00
3.100000000000000325e-02 3.413903654124777809e+00 2.175070956646130496e-02 3.407046316163646615e+00
3.200000000000000067e-02 3.319232933568730726e+00 2.074222389515149520e-02 3.342671095039311258e+00
3.300000000000000155e-02 3.269146369745005387e+00 2.043137940348709047e-02 3.277977436951809320e+00
3.400000000000000244e-02 3.173492740580296179e+00 1.988059360812440349e-02 3.213072880292046740e+00
3.499999999999999639e-02 3.114234884285302485e+00 1.930732744677412377e-02 3.148061913098316289e+00
3.599999999999999728e-02 3.068516199569199188e+00 1.899710908537848714e-02 3.083045733552905343e+00
3.699999999999999817e-02 3.005063518012562884e+00 1.837839335748844144e-02 3.018122035751759302e+00
3.799999999999999906e-02 2.933659778891648973e+00 1.809044318065069004e-02 2.953384820893691920e+00
3.899999999999999994e-02 2.838311593188934445e+00 1.757981123863936596e-02 2.888924233851270618e+00
4.000000000000000083e-02 2.810956490401190333e+00 1.719766943019941652e-02 2.824826424910837464e+00
4.100000000000000172e-02 2.732195224324901695e+00 1.682645337384628889e-02 2.761173436305325080e+00
4.199999999999999567e-02 2.674906070445034700e+00 1.662824151443789353e-02 2.698043113011628691e+00
4.299999999999999656e-02 2.633900895342206283e+00 1.626529913945516312e-02 2.635509037145157052e+00
4.399999999999999745e-02 2.539094287335042388e+00 1.593582925780765228e-02 2.573640485158436686e+00
4.499999999999999833e-02 2.487036190518736145e+00 1.564971288635701174e-02 2.512502406938737831e+00
4.599999999999999922e-02 2.441166550168518690e+00 1.518279231138165881e-02 2.452155425801920696e+00
4.700000000000000011e-02 2.398082360389480527e+00 1.505522786389088853e-02 2.392655858296164784e+00
4.800000000000000100e-02 2.326054609838831944e+00 1.481332812539246264e-02 2.334055752659915495e+00
4.899999999999999495e-02 2.276914641879754342e+00 1.456196343513973743e-02 2.276402944723018074e+00
5.000000000000000278e-02 2.229542189427034860e+00 1.445514410329953696e-02 2.219741129998324070e+00
5.200000000000000455e-02 2.104443376478772887e+00 9.768665263087042763e-03 2.109545096269032527e+00
5.400000000000000633e-02 2.005299595191228690e+00 9.542064504314998891e-03 2.003738045167624104e+00
5.600000000000000810e-02 1.912748803260230002e+00 9.567683679972663682e-03 1.902530994938179454e+00
5.800000000000000988e-02 1.811350434929371200e+00 9.561852162412013550e-03 1.806079982416490370e+00
6.000000000000001166e-02 1.746059270657698503e+00 9.411916254515746358e-03 1.714490925067513549e+00
6.200000000000001343e-02 1.660931282441304058e+00 8.948053935862169961e-03 1.627824805256882446e+00
