# q I sigma extended_fit
1.200000000000000025e-02 4.555868697794710265e+00 1.802056859244509923e-01 4.361272992188593101e+00
1.300000000000000114e-02 4.630752962505387593e+00 1.249328860628636517e-01 4.326491787001839562e+00
1.400000000000000203e-02 4.336115031681620380e+00 1.304762485355345225e-01 4.289331859020869331e+00
1.499999999999999944e-02 4.302606904700425616e+00 1.070143017747299946e-01 4.249880535474771293e+00
1.600000000000000033e-02 4.219676321078911663e+00 1.047035319980910012e-01 4.208229548357732774e+00
1.700000000000000122e-02 4.100541536687661193e+00 9.877621003576020353e-02 4.164474641627848861e+00
1.800000000000000211e-02 4.257028345411167258e+00 7.275389734950234166e-02 4.118715167092716456e+00
1.899999999999999953e-02 4.112539344820332232e+00 7.950181723570150238e-02 4.071053671575830535e+00
2.000000000000000042e-02 4.060275590369926135e+00 6.034051029269118377e-02 4.021595477964212684e+00
2.100000000000000130e-02 3.949668987218744487e+00 7.121729783630711963e-02 3.970448262721938626e+00
2.200000000000000219e-02 3.930257157006403990e+00 6.298633559226519962e-02 3.917721632417029642e+00
2.300000000000000308e-02 3.895222145736580543e+00 4.504289781144864974e-02 3.863526701751498482e+00
2.400000000000000050e-02 3.821395994643656202e+00 5.155101573799607956e-02 3.807975675507258018e+00
2.500000000000000139e-02 3.784155889788337834e+00 4.911857398442590061e-02 3.751181436725544049e+00
2.600000000000000228e-02 3.815566074983420375e+00 5.526816773230410623e-02 3.693257143325857417e+00
2.699999999999999969e-02 3.615588545691252431e+00 5.663335940797586260e-02 3.634315835243875359e+00
2.800000000000000058e-02 3.587659977406409517e+00 4.078869725746013530e-02 3.574470054028069388e+00
2.900000000000000147e-02 3.534860674608935938e+00 4.232549088477926408e-02 3.513831476683657140e+00
3.000000000000000236e-02 3.414256108988670491e+00 4.391296545000369228e-02 3.452510565391960551e+00
3.100000000000000325e-02 3.457743492759761228e+00 4.207349617573410971e-02 3.390616234565135834e+00
3.200000000000000067e-02 3.288284046224236867e+00 3.795530475590688096e-02 3.328255536522470859e+00
3.300000000000000155e-02 3.272147435445856622e+00 3.779459135899644606e-02 3.265533366897002132e+00
3.400000000000000244e-02 3.173964923684315043e+00 3.404341173572254797e-02 3.202552190701875467e+00
3.499999999999999639e-02 3.075201754000993049e+00 3.471597045886721383e-02 3.139411789806510367e+00
3.599999999999999728e-02 3.050688197503320875e+00 3.407206392367973652e-02 3.076209032394981335e+00
3.699999999999999817e-02 3.025767888968998953e+00 3.486205312362713332e-02 3.013037664804642191e+00
3.799999999999999906e-02 2.892687995112831256e+00 3.387642571283849130e-02 2.949988125973517228e+00
3.899999999999999994e-02 2.872605302418287376e+00 3.272080011006266165e-02 2.887147384561675079e+00
4.000000000000000083e-02 2.816038419503715140e+00 2.906884482385083818e-02 2.824598798655937326e+00
4.100000000000000172e-02 2.723438604059729595e+00 3.076587282392529918e-02 2.762421997820043273e+00
4.199999999999999567e-02 2.631889489570381713e+00 3.416320113139396236e-02 2.700692787114614468e+00
4.299999999999999656e-02 2.622147122436788269e+00 2.406443411852847436e-02 2.639483072583868495e+00
4.399999999999999745e-02 2.538107598888848848e+00 2.904512405744896428e-02 2.578860807589578918e+00
4.499999999999999833e-02 2.479162866182391234e+00 3.545895634002552838e-02 2.518889959267762713e+00
4.599999999999999922e-02 2.465980537906292458e+00 2.425675515706506372e-02 2.459630494290427905e+00
4.700000000000000011e-02 2.374498946463512006e+00 2.276497835144678308e-02 2.401138383033464940e+00
4.800000000000000100e-02 2.335258960479179802e+00 2.682294959653771030e-02 2.343465621182643677e+00
4.899999999999999495e-02 2.259909113396829650e+00 2.636883535106157236e-02 2.286660267752500086e+00
5.000000000000000278e-02 2.226494683723230228e+00 3.053555556685919395e-02 2.230766498447481094e+00
5.200000000000000455e-02 2.110923600997015814e+00 1.996971354596277851e-02 2.121871417183984310e+00
5.400000000000000633e-02 2.020197883551334339e+00 1.805298068067722264e-02 2.017059004225042251e+00
5.600000000000000810e-02 1.910618045254264930e+00 1.754103735569301561e-02 1.916551342971590799e+00
5.800000000000000988e-02 1.839379958738615706e+00 1.866178766856919566e-02 1.820517715427482974e+00
6.000000000000001166e-02 1.751633858957976742e+00 2.007168304235563971e-02 1.729078824521349533e+00
6.200000000000001343e-02 1.685943691162922198e+00 1.561997259258753740e-02 1.642311363621086651e+00
6.400000000000001521e-02 1.596575710088580680e+00 1.476351145933439170e-02 1.560252811130060646e+00
