# q I sigma extended_fit
1.200000000000000025e-02 1.700197969181901803e+00 5.377530975624303378e-02 1.647583155887767381e+00
1.300000000000000114e-02 1.686364487050203032e+00 4.676351594936849210e-02 1.638066431100969167e+00
1.400000000000000203e-02 1.677130560335798881e+00 4.286836749337075148e-02 1.627866025143040574e+00
1.499999999999999944e-02 1.659248751578455749e+00 3.871333257031699809e-02 1.616999069512917497e+00
1.600000000000000033e-02 1.618128895614283635e+00 3.547431679686498252e-02 1.605483682086139563e+00
1.700000000000000122e-02 1.662706127745964491e+00 3.229810077206518582e-02 1.593338911267786484e+00
1.800000000000000211e-02 1.616763620247236632e+00 3.007200665242347817e-02 1.580584677834852458e+00
1.899999999999999953e-02 1.578717168763932976e+00 2.866690341027722938e-02 1.567241714738295322e+00
2.000000000000000042e-02 1.570518185092473651e+00 2.698956766921407902e-02 1.553331505141135604e+00
2.100000000000000130e-02 1.581459732234288929e+00 2.571352570121129832e-02 1.538876218973381116e+00
2.200000000000000219e-02 1.532289063271810470e+00 2.461525758805272954e-02 1.523898648287222324e+00
2.300000000000000308e-02 1.519949976825983429e+00 2.355281980515122262e-02 1.508422141696891261e+00
2.400000000000000050e-02 1.481970728110342250e+00 2.273164376824726718e-02 1.492470538186838169e+00
2.500000000000000139e-02 1.476507982438313160e+00 2.199385368772981478e-02 1.476068100569489783e+00
2.600000000000000228e-02 1.440721657225664920e+00 2.145921649586975122e-02 1.459239448869843914e+00
2.699999999999999969e-02 1.424476478396714318e+00 2.082046853922375762e-02 1.442009493908639639e+00
2.800000000000000058e-02 1.426491977300688108e+00 2.007986688285648760e-02 1.424403371348829772e+00
2.900000000000000147e-02 1.406936095800249031e+00 1.976541493543365613e-02 1.406446376461710113e+00
3.000000000000000236e-02 1.394000097032359831e+00 1.940974480765467886e-02 1.388163899859389927e+00
3.100000000000000325e-02 1.372695237417086656e+00 1.891634250169955608e-02 1.369581364429431014e+00
3.200000000000000067e-02 1.345200353152343542e+00 1.850501735529939268e-02 1.350724163695534497e+00
3.300000000000000155e-02 1.346585301043608185e+00 1.809466503456241132e-02 1.331617601815249463e+00
3.400000000000000244e-02 1.273385642062258682e+00 1.766388352740303619e-02 1.312286835411902164e+00
3.499999999999999639e-02 1.305662018449616824e+00 1.740576931714882952e-02 1.292756817423431182e+00
3.599999999999999728e-02 1.264029221877505771e+00 1.716741241809047538e-02 1.273052243135699646e+00
3.699999999999999817e-02 1.264373806258260791e+00 1.697690955396670767e-02 1.253197498552225841e+00
3.799999999999999906e-02 1.236073984511592894e+00 1.665503637615441818e-02 1.233216611236287008e+00
3.899999999999999994e-02 1.199364114403554504e+00 1.621514344773444111e-02 1.213133203745097699e+00
4.000000000000000083e-02 1.197124806382473317e+00 1.612174832313693212e-02 1.192970449759386042e+00
4.100000000000000172e-02 1.152869873069529927e+00 1.582858357034253385e-02 1.172751032995285492e+00
4.199999999999999567e-02 1.169088239644328509e+00 1.563034635249918244e-02 1.152497108969147144e+00
4.299999999999999656e-02 1.117470223065754942e+00 1.526418180679894182e-02 1.132230269669751488e+00
4.399999999999999745e-02 1.076685797358523100e+00 1.501080661050866252e-02 1.111971511176585992e+00
4.499999999999999833e-02 1.081101945644675988e+00 1.502771490761664434e-02 1.091741204247405950e+00
4.599999999999999922e-02 1.053721590949884490e+00 1.462991016456902278e-02 1.071559067883344429e+00
4.700000000000000011e-02 1.064733335925410751e+00 1.432654419196292134e-02 1.051444145865428670e+00
4.800000000000000100e-02 1.035578522357984088e+00 1.409275357948683478e-02 1.031414786242581760e+00
4.899999999999999495e-02 9.795552599579666619e-01 1.399920983825190396e-02 1.011488623738098447e+00
5.000000000000000278e-02 9.704432866990003737e-01 1.381157670042918936e-02 9.916825650292510064e-01
5.200000000000000455e-02 9.426019194754531316e-01 9.569765836525497352e-03 9.524946768011166576e-01
5.400000000000000633e-02 9.076577641756672366e-01 9.302575270598635940e-03 9.139714297850766167e-01
5.600000000000000810e-02 8.563168031215545595e-01 9.318952978441182380e-03 8.762210002895879368e-01
5.800000000000000988e-02 8.494997784544385810e-01 9.466145547185252432e-03 8.393394241558214119e-01
6.000000000000001166e-02 7.937136120696036690e-01 9.391239677949029391e-03 8.034107339340668119e-01
6.200000000000001343e-02 7.706618481842686386e-01 9.025435666967854265e-03 7.685072271095785279e-01
6.400000000000001521e-02 7.387148924226392133e-01 8.729741145804648800e-03 7.346898497917415671e-01
6.600000000000001699e-02 7.041932436148136132e-01 8.546947598651998684e-03 7.020086797989451011e-01
6.800000000000001876e-02 6.750318609942388415e-01 8.323040655735424592e-03 6.705034929861191095e-01
7.000000000000002054e-02 6.546991411290284946e-01 8.186663703915729798e-03 6.402043969325095230e-01
7.200000000000002232e-02 6.203007278474587105e-01 7.986105891298169238e-03 6.111325166887546789e-01
7.400000000000002409e-02 6.104730739704570253e-01 8.052185643455438135e-03 5.833007181264479035e-01
