frame,forward_s1,forward_s2,forward_s3,forward_s4,backward_s1,backward_s2,backward_s3,backward_s4
1.550000000000000000e+02,7.141804285789097761e+00,6.958031501752131476e+00,6.958031501752131476e+00,6.958031501752131476e+00,1.660882491108430486e+03,1.522380326295539277e+01,1.283491047375580152e+01,1.241514367675790353e+01
1.560000000000000000e+02,7.618390170187698374e+00,6.958031501752131476e+00,6.661622607339270807e+00,6.661622607339270807e+00,1.660882116777498368e+03,1.516693438296770502e+01,1.277689315542489901e+01,1.241281679318380604e+01
1.570000000000000000e+02,8.469356560616605023e+00,6.968825266897908932e+00,6.661622607339270807e+00,6.343402382160855169e+00,1.660880074688885543e+03,1.501146253475457470e+01,1.273884369518207649e+01,1.238669942209800112e+01
1.580000000000000000e+02,8.821248210745366691e+00,7.177788897030715098e+00,6.968711054414491457e+00,6.343402382160855169e+00,1.660878453380476230e+03,1.496436047572088768e+01,1.273789770159260293e+01,1.238644624021211271e+01
1.590000000000000000e+02,9.916063575078583270e+00,7.302943884283352283e+00,7.134968807609527452e+00,6.540396464566804013e+00,1.660876126835746845e+03,1.488484996228590518e+01,1.253122877125211865e+01,1.231627465400869248e+01
1.600000000000000000e+02,1.228458439587949691e+01,7.822283410374851087e+00,7.173517928461497384e+00,7.068612043712684923e+00,1.660870923933028507e+03,1.486740660874644959e+01,1.252195902624250756e+01,1.231626212591117842e+01
1.610000000000000000e+02,1.679463016002697273e+01,8.053848780814689690e+00,7.323186223588778354e+00,7.082992020983402526e+00,1.660851652102797971e+03,1.485449480921432119e+01,1.251836135073982348e+01,1.220657012224010884e+01
1.620000000000000000e+02,2.933204455735682004e+01,8.368556567542114522e+00,7.561274104908244809e+00,7.111181400578614920e+00,1.660813046564537672e+03,1.485161207018191298e+01,1.251027208689062142e+01,1.216982703191792758e+01
1.630000000000000000e+02,5.179622037595481032e+01,8.526433744388665303e+00,8.361017471902094655e+00,7.163545896134380087e+00,1.660639599465978108e+03,1.484597189166805720e+01,1.250735953862691829e+01,1.215782107405204471e+01
1.640000000000000000e+02,8.571812846692256471e+01,8.697912184798143542e+00,8.368526216715524768e+00,7.517680175250013974e+00,1.660090024815974630e+03,1.484461607524578675e+01,1.248436989736949521e+01,1.209925612810507900e+01
1.650000000000000000e+02,1.348443459633583927e+02,8.738677894770162879e+00,8.416526516979901729e+00,7.566746420363686276e+00,1.658682720546683868e+03,1.481775868902811943e+01,1.242258793015434470e+01,1.209238750427246778e+01
1.660000000000000000e+02,1.952430748476317603e+02,9.241982243792408624e+00,8.417664977577558716e+00,7.626706674432112365e+00,1.655416711947567592e+03,1.472720855569063581e+01,1.239233227877481447e+01,1.209012717890130872e+01
1.670000000000000000e+02,2.651977465334508679e+02,9.242038151479345487e+00,8.511969105804876534e+00,7.641981673632619376e+00,1.649380154374423455e+03,1.466112407319439725e+01,1.237248801087843475e+01,1.208821295306157317e+01
1.680000000000000000e+02,3.459955536263244653e+02,9.467184733890828596e+00,8.525020650302124636e+00,7.686510841785531234e+00,1.639589511379925625e+03,1.461141350824543572e+01,1.228385990668565064e+01,1.203636531774377794e+01
1.690000000000000000e+02,4.311237052599898902e+02,9.574046667862752713e+00,8.533305103995450835e+00,8.407504523894139936e+00,1.624462691796529725e+03,1.459225146925092886e+01,1.227672042399612451e+01,1.201731340093809486e+01
1.700000000000000000e+02,5.210315022223937831e+02,1.033810957362540250e+01,9.422265960557844267e+00,8.479594883391188276e+00,1.603972324341080594e+03,1.415609161970305863e+01,1.211232698070637959e+01,1.193316619279367075e+01
1.710000000000000000e+02,6.118965408732647120e+02,1.060441321609666154e+01,9.471320603972584351e+00,8.500664498008758230e+00,1.577056934192602057e+03,1.412399209689901980e+01,1.206834126533413354e+01,1.190441614004458337e+01
1.720000000000000000e+02,7.032177514342727136e+02,1.073987508761078224e+01,9.859354944239909102e+00,9.150477788598379902e+00,1.544072096186200497e+03,1.411941555710843943e+01,1.196371560524268141e+01,1.171745932031968174e+01
1.730000000000000000e+02,7.940970764961795112e+02,1.096061803226219489e+01,1.073719532619528394e+01,9.150526490837885163e+00,1.504683023592378504e+03,1.409619150186355441e+01,1.188351772267318829e+01,1.164379362542713281e+01
