frame,forward_s1,forward_s2,forward_s3,forward_s4,backward_s1,backward_s2,backward_s3,backward_s4
1.200000000000000000e+02,8.801225016350338493e+00,8.435367626289568932e+00,8.435367626289568932e+00,8.435367626289568932e+00,7.750966502829860474e+02,5.029722846377266876e+01,1.624378420939029510e+01,1.577547263165939029e+01
1.210000000000000000e+02,8.910325588010131526e+00,8.435367626289568932e+00,7.512294608760170078e+00,7.512294608760170078e+00,7.750957812162392884e+02,5.025026664849805513e+01,1.613263469520750348e+01,1.576944161712065018e+01
1.220000000000000000e+02,1.021410903329368480e+01,8.533683032466022667e+00,7.512294608760170078e+00,7.498330263340826640e+00,7.750924091981769379e+02,5.018474855612208785e+01,1.610802087027626328e+01,1.571983783702776094e+01
1.230000000000000000e+02,1.175472571454293913e+01,8.537819535263333037e+00,8.057576655826977685e+00,7.498330263340826640e+00,7.750850181150494791e+02,5.007187361931919867e+01,1.610718122722438395e+01,1.569710041070874595e+01
1.240000000000000000e+02,1.400133389040177079e+01,8.845919713123787886e+00,8.124117522412577230e+00,7.572739532819907637e+00,7.750741700413723265e+02,5.000296480409169675e+01,1.606274129741287382e+01,1.560859885483576903e+01
1.250000000000000000e+02,1.614929859994200712e+01,9.410140617683923736e+00,8.490268998261566225e+00,7.931673421843268734e+00,7.750481182672256182e+02,4.989675735143703861e+01,1.604913804902356134e+01,1.556409162114949574e+01
1.260000000000000000e+02,2.087691382749232005e+01,9.431930853499595813e+00,8.945487082052693495e+00,8.013564739142713833e+00,7.750049858310418358e+02,4.979189017574022813e+01,1.601551458930486405e+01,1.555814922088634766e+01
1.270000000000000000e+02,2.466066365707686003e+01,9.657129783460426609e+00,9.019727974223362921e+00,8.345164877689448701e+00,7.749211352340341818e+02,4.924797774745496071e+01,1.592161774845571642e+01,1.555737123143028278e+01
1.280000000000000000e+02,2.914166461453081070e+01,9.742557623220813312e+00,9.501999816789163944e+00,8.523186004762333567e+00,7.748302995287675685e+02,4.894163861513550273e+01,1.590551996380478172e+01,1.552298308833531237e+01
1.290000000000000000e+02,3.408444697105557708e+01,9.746949427208821959e+00,9.509021270610967136e+00,8.612020616912852589e+00,7.746939981463783624e+02,4.870970697463305754e+01,1.577820298828237888e+01,1.547072918610613002e+01
1.300000000000000000e+02,3.938064459977203313e+01,1.009104683925743373e+01,9.512954920313445584e+00,9.245633606900042878e+00,7.745240892315000565e+02,4.818826855204412141e+01,1.564031946779739179e+01,1.541735255383194847e+01
1.310000000000000000e+02,4.566455421221898803e+01,1.012278936544723962e+01,1.000048734432733077e+01,9.498227601522822638e+00,7.743046000039714727e+02,4.763159544731033890e+01,1.564030986889079777e+01,1.540635781693443285e+01
1.320000000000000000e+02,5.235785417963889898e+01,1.039523116924010004e+01,1.003262545891490554e+01,9.501138647929806780e+00,7.739795542089239007e+02,4.724016496303227086e+01,1.560661988190011940e+01,1.519188644571962676e+01
1.330000000000000000e+02,5.975077359075957872e+01,1.099755032469195726e+01,1.034192560184312448e+01,9.501207516911042816e+00,7.736103935530269382e+02,4.633905784146803342e+01,1.560599193794734951e+01,1.498567577135887774e+01
1.340000000000000000e+02,6.813758258203063178e+01,1.167746530830592278e+01,1.034309574023381728e+01,9.827769821979261522e+00,7.730973526133863061e+02,4.586238728224498828e+01,1.560240938360375651e+01,1.485311740866186092e+01
1.350000000000000000e+02,7.714695141977598780e+01,1.179308133244151868e+01,1.034339974682171359e+01,1.002185937173183916e+01,7.724328615547178742e+02,4.523477795811205482e+01,1.555622926432784858e+01,1.484773745973971337e+01
1.360000000000000000e+02,8.748657555127878993e+01,1.209601230252962445e+01,1.035487220085960125e+01,1.026205966159480809e+01,7.716299823667453666e+02,4.428963660255983115e+01,1.555617572849233099e+01,1.483482647456479064e+01
1.370000000000000000e+02,9.839363510728408357e+01,1.220057899836403159e+01,1.074544033998062709e+01,1.029875987097651091e+01,7.705872054599938110e+02,4.317468892237498324e+01,1.549466156880258438e+01,1.482850098662203031e+01
1.380000000000000000e+02,1.102805138641383564e+02,1.256461741998252890e+01,1.075819169335626668e+01,1.030154133330243127e+01,7.693173554948502897e+02,4.219353218914265113e+01,1.544615089431311183e+01,1.461821377656335308e+01
