# q I sigma_original_independent_frame_assumption
5.000000000000000104e-03 7.120234993636362475e+00 2.910046161379710394e+00
6.000000000000000125e-03 6.637350396363635774e+00 1.365400839903081920e+00
7.000000000000000146e-03 6.165395227272728818e+00 6.911417203397846043e-01
8.000000000000000167e-03 5.354424665454545540e+00 3.680137843514954543e-01
8.999999999999999320e-03 5.487239330909090995e+00 2.457314961808779730e-01
1.000000000000000021e-02 5.366923959090909690e+00 1.835984500145517728e-01
1.099999999999999936e-02 5.237999878181818225e+00 1.461250531351761250e-01
1.200000000000000025e-02 5.226556170909090859e+00 1.170162107620672798e-01
1.299999999999999940e-02 5.078871407272727900e+00 9.963093056564899241e-02
1.400000000000000029e-02 5.025682669090909549e+00 8.515308823981608544e-02
1.499999999999999944e-02 4.975495691818180966e+00 7.387677623006055905e-02
1.600000000000000033e-02 4.978460317272728197e+00 6.392698301095835201e-02
1.700000000000000122e-02 4.863270461818181012e+00 5.736267099279202669e-02
1.799999999999999864e-02 4.855500065454545933e+00 5.349386056583191329e-02
1.899999999999999953e-02 4.667475444545454266e+00 4.848148239641669743e-02
2.000000000000000042e-02 4.652133543636364443e+00 4.464080152538209278e-02
2.100000000000000130e-02 4.572349585454545284e+00 4.165327603421938030e-02
2.199999999999999872e-02 4.491640063636364033e+00 3.959151206766245434e-02
2.299999999999999961e-02 4.428761419999999838e+00 3.757257161996623712e-02
2.400000000000000050e-02 4.418761332727272340e+00 3.503541123535460627e-02
2.500000000000000139e-02 4.261330163636364077e+00 3.361214220325203783e-02
2.599999999999999881e-02 4.168562321818182426e+00 3.237559133932629840e-02
2.699999999999999969e-02 4.194123541818182588e+00 3.097812889873159323e-02
2.800000000000000058e-02 4.099403453636363714e+00 2.923175667781744563e-02
2.900000000000000147e-02 3.985614865454546241e+00 2.888685298398907184e-02
2.999999999999999889e-02 3.940868541818181470e+00 2.818279987690703800e-02
3.099999999999999978e-02 3.843442946363636370e+00 2.689740192635694388e-02
3.200000000000000067e-02 3.728840375454545608e+00 2.544235288041609561e-02
3.300000000000000155e-02 3.690252568181817683e+00 2.548537287780524782e-02
3.400000000000000244e-02 3.583375322727272660e+00 2.462663324882960816e-02
3.500000000000000333e-02 3.542753245454545397e+00 2.414807008489934514e-02
3.599999999999999728e-02 3.458587615454545627e+00 2.364228570300073995e-02
3.699999999999999817e-02 3.372074529999999459e+00 2.297507586607374502e-02
3.799999999999999906e-02 3.326183969090909631e+00 2.259290031049171130e-02
3.899999999999999994e-02 3.177658820909091464e+00 2.185020487437568451e-02
4.000000000000000083e-02 3.160027540909090771e+00 2.137122612101212404e-02
4.100000000000000172e-02 3.069000568181817989e+00 2.086865789126433196e-02
4.200000000000000261e-02 3.021220197272727059e+00 2.053289967445773648e-02
4.299999999999999656e-02 2.959097447272727166e+00 2.009446262473527783e-02
4.399999999999999745e-02 2.862201750909091125e+00 1.974454018477221282e-02
4.499999999999999833e-02 2.812766113636363752e+00 1.934967341943362798e-02
4.599999999999999922e-02 2.728488821818182419e+00 1.867715513812706965e-02
4.700000000000000011e-02 2.718730112727272719e+00 1.866195378410098402e-02
4.800000000000000100e-02 2.623914522727272658e+00 1.834615775704460938e-02
4.900000000000000189e-02 2.564612915454545394e+00 1.794004039273864801e-02
5.000000000000000278e-02 2.525307456363636405e+00 1.788772283382132622e-02
5.199999999999999761e-02 2.379300560909090922e+00 1.205394432074449566e-02
5.399999999999999939e-02 2.256353793636363569e+00 1.173614649497479664e-02
5.600000000000000117e-02 2.159914898181818366e+00 1.176065581394605992e-02
5.800000000000000294e-02 2.035948996363636354e+00 1.170963470763580587e-02
5.999999999999999778e-02 1.955264755454545256e+00 1.145960532317735238e-02
6.199999999999999956e-02 1.877522669090909258e+00 1.100065455902062700e-02
6.400000000000000133e-02 1.805805330909090678e+00 1.074267622454243287e-02
6.600000000000000311e-02 1.693117487272727484e+00 1.024653708480197795e-02
6.800000000000000488e-02 1.612411110909090617e+00 1.002042709987459833e-02
