# q I sigma_saved_BIFT_input
1.200000000000000025e-02 4.672795642146665429e+00 1.231240011649948340e-01
1.300000000000000114e-02 4.678896471950870328e+00 1.024712879601680920e-01
1.400000000000000203e-02 4.538214770742642123e+00 8.793784732202092336e-02
1.499999999999999944e-02 4.514225337374679015e+00 7.500309781601952053e-02
1.600000000000000033e-02 4.481695125386109702e+00 6.511737847742241070e-02
1.700000000000000122e-02 4.396522001935822210e+00 5.788923318838126719e-02
1.800000000000000211e-02 4.408169996436708260e+00 5.239519990317705739e-02
1.899999999999999953e-02 4.220492292016416513e+00 4.846930818430163213e-02
2.000000000000000042e-02 4.197516338422444093e+00 4.386286124613567733e-02
2.100000000000000130e-02 4.132295912003818295e+00 4.115485179080415057e-02
2.200000000000000219e-02 4.076377058530514574e+00 3.871677863173959150e-02
2.300000000000000308e-02 4.035550429946433759e+00 3.596436527803779926e-02
2.400000000000000050e-02 3.981098901143111490e+00 3.406719069315503057e-02
2.500000000000000139e-02 3.875590399131374930e+00 3.261921499560226090e-02
2.600000000000000228e-02 3.827262537555637945e+00 3.108204457760471370e-02
2.699999999999999969e-02 3.779735517555652180e+00 2.986705631835716648e-02
2.800000000000000058e-02 3.701050206674708853e+00 2.808348661494219564e-02
2.900000000000000147e-02 3.623788077011413922e+00 2.750244639732128682e-02
3.000000000000000236e-02 3.571728650072292677e+00 2.675228978618545209e-02
3.100000000000000325e-02 3.512857372116867882e+00 2.585068076393412517e-02
3.200000000000000067e-02 3.379687992651815520e+00 2.463700252170554841e-02
3.300000000000000155e-02 3.359769603372663394e+00 2.427399244054425850e-02
3.400000000000000244e-02 3.259334357631884060e+00 2.363564230300765553e-02
3.499999999999999639e-02 3.220200651264546465e+00 2.288974403182529593e-02
3.599999999999999728e-02 3.153149571157362274e+00 2.254372855023965838e-02
3.699999999999999817e-02 3.077362073108881990e+00 2.186249858710595517e-02
3.799999999999999906e-02 3.022976626544747081e+00 2.146284760458605501e-02
3.899999999999999994e-02 2.910286959461992229e+00 2.091466643846749685e-02
4.000000000000000083e-02 2.885500568262480137e+00 2.042928002476793181e-02
4.100000000000000172e-02 2.800869943734658918e+00 1.999650365545764183e-02
4.199999999999999567e-02 2.732705718967627373e+00 1.972416997073246983e-02
4.299999999999999656e-02 2.696129612107685869e+00 1.932136885752738092e-02
4.399999999999999745e-02 2.607033415500745299e+00 1.896369262130425531e-02
4.499999999999999833e-02 2.541890651091974096e+00 1.858512999899877144e-02
4.599999999999999922e-02 2.498567995291073984e+00 1.813149493453956526e-02
4.700000000000000011e-02 2.457454954344387765e+00 1.790789694995480533e-02
4.800000000000000100e-02 2.397438164782795145e+00 1.758804033978393980e-02
4.899999999999999495e-02 2.333460453358792819e+00 1.731359955907079209e-02
5.000000000000000278e-02 2.295663263693958456e+00 1.718335861705502440e-02
5.200000000000000455e-02 2.162108691461863685e+00 1.165386244459341858e-02
5.400000000000000633e-02 2.059315921727959520e+00 1.136952107398790310e-02
5.600000000000000810e-02 1.959860451926252134e+00 1.143444376124793174e-02
5.800000000000000988e-02 1.857504284808326078e+00 1.143722075792092709e-02
6.000000000000001166e-02 1.784594514335157367e+00 1.125684561331250638e-02
6.200000000000001343e-02 1.711091731737616861e+00 1.071725981743358244e-02
6.400000000000001521e-02 1.642665257260122580e+00 1.041616863588078722e-02
6.600000000000001699e-02 1.545511396729251530e+00 1.011932558017354135e-02
6.800000000000001876e-02 1.472771576730215859e+00 9.848773059204177921e-03
7.000000000000002054e-02 1.400204869745832026e+00 9.655268352780667362e-03
7.200000000000002232e-02 1.347344821591693886e+00 9.539023940720757141e-03
7.400000000000002409e-02 1.293917037092545463e+00 9.468274317034577892e-03
7.600000000000002587e-02 1.234379306017979738e+00 9.213274188414810259e-03
7.800000000000002764e-02 1.174917005012214188e+00 9.153277161415934032e-03
8.000000000000002942e-02 1.134151158254529612e+00 9.245875206329128015e-03
8.200000000000003120e-02 1.072693584578517267e+00 9.191367502482283847e-03
8.400000000000003297e-02 1.036797004260282318e+00 8.861053143657609057e-03
8.600000000000003475e-02 1.011426607341731732e+00 8.649834933643792828e-03
8.800000000000003653e-02 9.481758324293517726e-01 8.724077859198861584e-03
9.000000000000003830e-02 9.222699515060389652e-01 8.717762724372047148e-03
9.200000000000004008e-02 8.973437412396122470e-01 8.592072534258319086e-03
9.400000000000004186e-02 8.564307621697905271e-01 8.543671664061450871e-03
9.600000000000004363e-02 8.287522057922860341e-01 8.544516038870016844e-03
9.800000000000004541e-02 7.894362650507588119e-01 8.499978509250293024e-03
1.000000000000000056e-01 7.616625371172736081e-01 8.405115645616228343e-03
1.050000000000000100e-01 7.015608328795805981e-01 5.182065568348905721e-03
1.100000000000000144e-01 6.437720357081931910e-01 5.066303483847079889e-03
1.150000000000000189e-01 6.013813683933952881e-01 4.951219780229281983e-03
1.200000000000000233e-01 5.399975734507185265e-01 4.858905479380657734e-03
1.250000000000000278e-01 5.126021000517753112e-01 4.906079658447137781e-03
1.300000000000000322e-01 4.728466221760549426e-01 4.944424016106738554e-03
1.350000000000000366e-01 4.466727222921642593e-01 4.746099976309853426e-03
1.400000000000000411e-01 4.135473329320376035e-01 4.658267078256213799e-03
1.450000000000000455e-01 3.891350484606229676e-01 4.580601597792889092e-03
1.500000000000000500e-01 3.657847423754452265e-01 4.754275189444765078e-03
1.550000000000000544e-01 3.358874421038950397e-01 4.780116394283101013e-03
1.600000000000000588e-01 3.155280219148964838e-01 4.804170595527724325e-03
1.650000000000000633e-01 3.054833290620295183e-01 4.841388849655983879e-03
1.700000000000000677e-01 2.831704532789915962e-01 4.860269793879406185e-03
1.750000000000000722e-01 2.701048136540000755e-01 4.819049778817652459e-03
1.800000000000000766e-01 2.600169140791878664e-01 4.198147259266310841e-03
1.850000000000000810e-01 2.438243929621859984e-01 4.155126676008218459e-03
1.900000000000000855e-01 2.298762716094519820e-01 4.047345890138364863e-03
1.950000000000000899e-01 2.165366586285487616e-01 4.027043726323144106e-03
2.000000000000000944e-01 2.132222187802607360e-01 4.135616725149646872e-03
2.050000000000000988e-01 2.006303150197021323e-01 4.205735449303052605e-03
2.100000000000001033e-01 1.915825065309678943e-01 4.136850716879009356e-03
2.150000000000001077e-01 1.911667139311176988e-01 4.223726116255422519e-03
2.200000000000001121e-01 1.805712656803975247e-01 4.080896643788885572e-03
2.250000000000001166e-01 1.722263864198085581e-01 4.110898793507007480e-03
2.300000000000001210e-01 1.658546324700944097e-01 3.963258471913144732e-03
2.350000000000001255e-01 1.655438975584586359e-01 4.150589029892243730e-03
2.400000000000001299e-01 1.499499558390643139e-01 4.433343352651711831e-03
2.450000000000001343e-01 1.469731504088151175e-01 4.286155503884092263e-03
