# q I sigma_shared_baseline
5.000000000000000104e-03 4.461635339036834402e+00 5.396909220938516327e+00
6.000000000000000125e-03 5.274413118518344490e+00 2.479028001494034239e+00
7.000000000000000146e-03 5.612821841743636853e+00 1.208990910148174391e+00
8.000000000000000167e-03 5.285140742227898869e+00 6.596588411392547702e-01
9.000000000000001055e-03 5.357110282300967974e+00 4.109119581979914781e-01
1.000000000000000021e-02 5.532001296613136887e+00 2.995885497708553613e-01
1.099999999999999936e-02 5.245653043508241353e+00 2.339970483264142143e-01
1.200000000000000025e-02 5.280349749532488701e+00 1.895958436024217375e-01
1.300000000000000114e-02 5.089598907342591794e+00 1.592617719340619631e-01
1.400000000000000203e-02 5.177165998944787795e+00 1.372403296682809248e-01
1.499999999999999944e-02 5.044680525182685393e+00 1.171828202616454206e-01
1.600000000000000033e-02 5.116844029147889827e+00 1.024985267858460475e-01
1.700000000000000122e-02 5.055501823313673704e+00 9.107987066693482014e-02
1.800000000000000211e-02 4.972566500948634172e+00 8.429022774433500564e-02
1.899999999999999953e-02 4.782224888045494282e+00 7.661724850820784971e-02
2.000000000000000042e-02 4.798842244576789540e+00 6.976132595437413431e-02
2.100000000000000130e-02 4.730941479130652105e+00 6.615782052391380730e-02
2.200000000000000219e-02 4.636482983031567251e+00 6.232710282283107639e-02
2.300000000000000308e-02 4.608989105157960786e+00 5.874360344841118159e-02
2.400000000000000050e-02 4.644635683511971536e+00 5.529862908278008332e-02
2.500000000000000139e-02 4.450797365445748888e+00 5.308125746947722767e-02
2.600000000000000228e-02 4.286033967149291968e+00 5.083552792110437868e-02
2.699999999999999969e-02 4.265767469436037906e+00 4.840272540822134623e-02
2.800000000000000058e-02 4.242725747904137812e+00 4.616177925718203262e-02
2.900000000000000147e-02 4.105126305279145349e+00 4.486261832684260153e-02
3.000000000000000236e-02 4.085433296840051298e+00 4.350090017706404605e-02
3.100000000000000325e-02 3.991292974972316721e+00 4.256088038346847457e-02
3.200000000000000067e-02 3.879617725300897213e+00 4.007022776595690200e-02
3.300000000000000155e-02 3.783571232390421812e+00 3.988882238295685806e-02
3.400000000000000244e-02 3.752117062198764064e+00 3.867469391090085779e-02
3.499999999999999639e-02 3.628671506018170678e+00 3.756386981053779633e-02
3.599999999999999728e-02 3.574293411302226442e+00 3.723951129888015271e-02
3.699999999999999817e-02 3.498449627403219964e+00 3.576738395861248782e-02
3.799999999999999906e-02 3.455188946774152114e+00 3.528757172239500861e-02
3.899999999999999994e-02 3.270035487466831370e+00 3.422291675868631422e-02
4.000000000000000083e-02 3.294913497618367604e+00 3.338925269720291467e-02
4.100000000000000172e-02 3.192278072980352821e+00 3.272605257637534182e-02
4.199999999999999567e-02 3.126649657575534036e+00 3.236703120092599556e-02
4.299999999999999656e-02 3.072474367070463064e+00 3.181588457062395348e-02
4.399999999999999745e-02 2.955596054703987452e+00 3.109946513687357125e-02
4.499999999999999833e-02 2.889147622871268251e+00 3.031374988210739155e-02
4.599999999999999922e-02 2.820238073612650886e+00 2.931434896637595544e-02
4.700000000000000011e-02 2.835588825009939917e+00 2.945371187899613330e-02
4.800000000000000100e-02 2.712056496502455616e+00 2.876534766806154719e-02
4.899999999999999495e-02 2.672078241977627666e+00 2.828765490967801235e-02
5.000000000000000278e-02 2.645234507391811984e+00 2.796965597602290785e-02
5.200000000000000455e-02 2.450155900452048119e+00 1.891766237055168137e-02
5.400000000000000633e-02 2.323547916831674609e+00 1.850237003106205980e-02
5.600000000000000810e-02 2.229607082560825404e+00 1.859644301337600933e-02
5.800000000000000988e-02 2.085981227296628493e+00 1.844165953335321489e-02
6.000000000000001166e-02 2.010816847701630383e+00 1.808007699184546388e-02
6.200000000000001343e-02 1.943883472381681132e+00 1.731712396871957355e-02
6.400000000000001521e-02 1.860881394995192784e+00 1.677054166084750164e-02
6.600000000000001699e-02 1.750180785828461483e+00 1.621341917854650719e-02
6.800000000000001876e-02 1.644845703440336981e+00 1.571995575801245909e-02
7.000000000000002054e-02 1.583103204057910274e+00 1.540581041377390992e-02
7.200000000000002232e-02 1.523823339781126940e+00 1.518157326489716005e-02
7.400000000000002409e-02 1.469830448979139392e+00 1.507610300957340152e-02
7.600000000000002587e-02 1.387468262995964929e+00 1.456125545832181664e-02
7.800000000000002764e-02 1.335010459659043969e+00 1.450517531118168495e-02
8.000000000000002942e-02 1.285586369004480645e+00 1.463259832432188372e-02
8.200000000000003120e-02 1.205839002434676122e+00 1.452526275866559968e-02
8.400000000000003297e-02 1.184380251834233899e+00 1.396666121434561592e-02
8.600000000000003475e-02 1.139201780763928085e+00 1.361209867819217732e-02
8.800000000000003653e-02 1.080687185804795059e+00 1.373425185264716408e-02
9.000000000000003830e-02 1.052615264426786990e+00 1.366797564608237397e-02
