# q I conditional_sigma_fixed_C_no_cross_frame_covariance
1.200000000000000025e-02 1.818781250501335378e-01 9.888566212990781423e+00
1.300000000000000114e-02 -1.417671013716965023e+00 8.279508483951385500e+00
1.400000000000000203e-02 8.142013815118861686e+00 7.088368548688453785e+00
1.499999999999999944e-02 4.665664475244994058e+00 6.090883821191745540e+00
1.600000000000000033e-02 -6.250622342264644082e+00 5.333766898622278596e+00
1.700000000000000122e-02 8.546688979579888823e+00 4.736601220914384847e+00
1.800000000000000211e-02 -7.492271610720145247e+00 4.312057835911462966e+00
1.899999999999999953e-02 6.099292781758514082e+00 3.986237007186755665e+00
2.000000000000000042e-02 1.425946739059716473e+00 3.632984298210228058e+00
2.100000000000000130e-02 2.429885188798795337e+00 3.398914793671774515e+00
2.200000000000000219e-02 6.161111698350066890e-01 3.206902316015971088e+00
2.300000000000000308e-02 -3.195352784314024586e+00 2.990503759138927631e+00
2.400000000000000050e-02 -2.861057979014736685e-01 2.844337612710298391e+00
2.500000000000000139e-02 -3.065978007984986764e+00 2.720927770195963546e+00
2.600000000000000228e-02 2.234977530829088455e+00 2.594622245649572889e+00
2.699999999999999969e-02 2.485062329475935083e+00 2.489471261827249648e+00
2.800000000000000058e-02 -4.033789012971251253e+00 2.344382975552992576e+00
2.900000000000000147e-02 1.065627260276936550e+00 2.306476170314870178e+00
3.000000000000000236e-02 7.756516919602099991e-01 2.239190878141024577e+00
3.100000000000000325e-02 -4.862563116663778828e+00 2.160284064699752093e+00
3.200000000000000067e-02 3.506494186781642153e+00 2.056973389015643860e+00
3.300000000000000155e-02 8.218874828760854845e-01 2.031203254109215983e+00
3.400000000000000244e-02 -1.883777404860531357e+00 1.973516540778248229e+00
3.499999999999999639e-02 -2.305217948934165761e+00 1.922417483930314752e+00
3.599999999999999728e-02 -1.408793072355791098e+00 1.885261118192920859e+00
3.699999999999999817e-02 5.211832288388185130e-01 1.833092490500151994e+00
3.799999999999999906e-02 5.067059094538034492e-01 1.798323890619198950e+00
3.899999999999999994e-02 -1.525099240097724795e+00 1.760125690432670753e+00
4.000000000000000083e-02 -2.206998569956958089e+00 1.711497230058762309e+00
4.100000000000000172e-02 2.284703290594007896e+00 1.671308479707849015e+00
4.199999999999999567e-02 6.234576477493427582e-01 1.650737178551097806e+00
4.299999999999999656e-02 1.187295178892584513e+00 1.613611536505223709e+00
4.399999999999999745e-02 8.898880428293730604e-01 1.578514456318100834e+00
4.499999999999999833e-02 1.396124018620033436e+00 1.553428307405254172e+00
4.599999999999999922e-02 1.650367999673335306e-01 1.503363974658877167e+00
4.700000000000000011e-02 -2.832168800582652857e+00 1.492297718478884150e+00
4.800000000000000100e-02 -2.972489767086410328e+00 1.464405456534703109e+00
4.899999999999999495e-02 4.215383959803385316e+00 1.439547157367917496e+00
5.000000000000000278e-02 -3.440592477508779723e+00 1.433522491108909058e+00
5.200000000000000455e-02 -1.915178783050090816e+00 9.698972075134820736e-01
5.400000000000000633e-02 7.132522016838441781e-01 9.442516424559459498e-01
5.600000000000000810e-02 -9.358868240644301340e-01 9.480234517290749841e-01
5.800000000000000988e-02 -1.224272207279782920e+00 9.465663798776511317e-01
6.000000000000001166e-02 1.682841886523402497e+00 9.318654072395763377e-01
6.200000000000001343e-02 -2.666301595317501771e+00 8.894252302902819762e-01
6.400000000000001521e-02 -2.765872999174843194e+00 8.613783137828333603e-01
6.600000000000001699e-02 -7.523519774745762723e-01 8.354248544547089317e-01
6.800000000000001876e-02 -6.004171224079808411e-01 8.126507207281397083e-01
7.000000000000002054e-02 -4.914293431230639109e-01 7.941133951386398770e-01
7.200000000000002232e-02 -7.807650839248275743e-01 7.851749026870218362e-01
7.400000000000002409e-02 5.381414743684806989e-01 7.775421053789554060e-01
7.600000000000002587e-02 -2.353356329376486145e-01 7.558194464135911117e-01
7.800000000000002764e-02 -7.103296981254858533e-01 7.512163583249854559e-01
8.000000000000002942e-02 -2.052401023381400236e-01 7.585185286554798623e-01
8.200000000000003120e-02 -4.897160857137670131e-01 7.533462202139676878e-01
8.400000000000003297e-02 -1.122534860813766855e+00 7.251113468541040552e-01
8.600000000000003475e-02 -2.723334399635113923e-01 7.062483176273745000e-01
8.800000000000003653e-02 -3.361447815554156615e-01 7.138199031848134757e-01
9.000000000000003830e-02 -2.445812425239154431e-01 7.136856375887373760e-01
9.200000000000004008e-02 -1.539115235631104639e+00 7.031452521327805627e-01
9.400000000000004186e-02 -1.222494692427791019e-01 6.960301504811905460e-01
9.600000000000004363e-02 3.523765013068639318e-01 6.975404411679884120e-01
9.800000000000004541e-02 -2.327828239021026702e-01 6.919225687016602455e-01
1.000000000000000056e-01 -8.013812810086044791e-02 6.842983306893345441e-01
1.050000000000000100e-01 7.355783956937926582e-02 4.210544128810997933e-01
1.100000000000000144e-01 -6.887933135244637128e-01 4.112180529161282294e-01
1.150000000000000189e-01 -7.536725544544752298e-01 4.021574053849235053e-01
1.200000000000000233e-01 -5.479677007823949841e-01 3.934704403481040225e-01
1.250000000000000278e-01 -7.263214459393966260e-01 3.970441237110762800e-01
1.300000000000000322e-01 1.675417538724439936e-01 3.998215265895924686e-01
1.350000000000000366e-01 -2.666658994770687019e-01 3.838407891843417796e-01
1.400000000000000411e-01 -3.528816433075190329e-01 3.763667389498008831e-01
1.450000000000000455e-01 -6.165349560784066929e-01 3.694814978832381969e-01
1.500000000000000500e-01 -1.114275409547856033e-01 3.840742333321301438e-01
1.550000000000000544e-01 -5.532505712241372331e-01 3.851901980765201072e-01
1.600000000000000588e-01 -7.077562263818337751e-01 3.869744377645877309e-01
1.650000000000000633e-01 2.056813473365138867e-01 3.903472069011474366e-01
1.700000000000000677e-01 -8.579059965197007864e-01 3.918841266612589913e-01
1.750000000000000722e-01 -7.542595455519139902e-01 3.879920756228676937e-01
1.800000000000000766e-01 1.810728969089664686e-01 3.361045406532225388e-01
1.850000000000000810e-01 -4.047551647292729204e-01 3.346642968440419752e-01
1.900000000000000855e-01 -3.614220378515754506e-01 3.262365733496142561e-01
1.950000000000000899e-01 -2.448218255438902591e-01 3.259610019820894378e-01
2.000000000000000944e-01 -7.043420923526615141e-02 3.300835912572890884e-01
2.050000000000000988e-01 -5.213559958755326074e-01 3.376387796017268350e-01
2.100000000000001033e-01 -1.808676406702162953e-02 3.283604413835609082e-01
2.150000000000001077e-01 -8.053952345671361313e-01 3.382400440638186345e-01
2.200000000000001121e-01 2.108554961317712362e-01 3.303823779197875288e-01
2.250000000000001166e-01 5.103706791833400036e-01 3.261348640530847276e-01
2.300000000000001210e-01 -4.926781523860129797e-01 3.170940956362797158e-01
2.350000000000001255e-01 -2.274966316063374294e-01 3.321662965588515481e-01
2.400000000000001299e-01 -3.389297177706381836e-01 3.531801826064868699e-01
2.450000000000001343e-01 3.727686701556021664e-01 3.452319294787669079e-01
