# q I sigma_saved_BIFT_input
1.200000000000000025e-02 1.647928830045573667e+00 6.753508548855396976e-02
1.300000000000000114e-02 1.710982478463267009e+00 5.864686370052012154e-02
1.400000000000000203e-02 1.641199602398633717e+00 5.335353692370994189e-02
1.499999999999999944e-02 1.614240271689673989e+00 4.825839358264007867e-02
1.600000000000000033e-02 1.611892730857811928e+00 4.408595007318845405e-02
1.700000000000000122e-02 1.621210138265461342e+00 4.002991134672410911e-02
1.800000000000000211e-02 1.574546602645236826e+00 3.755736129365036535e-02
1.899999999999999953e-02 1.582748247505019634e+00 3.544910402503937547e-02
2.000000000000000042e-02 1.560897609509966033e+00 3.352047218113814869e-02
2.100000000000000130e-02 1.591916756168156422e+00 3.179942805216615098e-02
2.200000000000000219e-02 1.550769696100481321e+00 3.046180180151248154e-02
2.300000000000000308e-02 1.500434046161646995e+00 2.915580983520920863e-02
2.400000000000000050e-02 1.459638975337994804e+00 2.822113389593317381e-02
2.500000000000000139e-02 1.455217531185436952e+00 2.720570168186381074e-02
2.600000000000000228e-02 1.436472006857077988e+00 2.652338789198494320e-02
2.699999999999999969e-02 1.428838808718587483e+00 2.577294595300843455e-02
2.800000000000000058e-02 1.421561078363277719e+00 2.493307507109620083e-02
2.900000000000000147e-02 1.403315729478662677e+00 2.448636068564269061e-02
3.000000000000000236e-02 1.392742196068374794e+00 2.404249550521980403e-02
3.100000000000000325e-02 1.393308463464207669e+00 2.347014091622871487e-02
3.200000000000000067e-02 1.358793300689208783e+00 2.290291246447829013e-02
3.300000000000000155e-02 1.339760811181642142e+00 2.238409032457495604e-02
3.400000000000000244e-02 1.282675059760773673e+00 2.191686685598662546e-02
3.499999999999999639e-02 1.323894337021733536e+00 2.157693985346963855e-02
3.599999999999999728e-02 1.283360080237589074e+00 2.122063102285891290e-02
3.699999999999999817e-02 1.264509588118427841e+00 2.102358013382999574e-02
3.799999999999999906e-02 1.255278093659171201e+00 2.059333418537026214e-02
3.899999999999999994e-02 1.218339848054228458e+00 2.008893977630122826e-02
4.000000000000000083e-02 1.196653823626818935e+00 1.998584803469443186e-02
4.100000000000000172e-02 1.164589571325446382e+00 1.961414092812647364e-02
4.199999999999999567e-02 1.185520625341608625e+00 1.940908150467414786e-02
4.299999999999999656e-02 1.123798380718343148e+00 1.895651257633066550e-02
4.399999999999999745e-02 1.082607600318063579e+00 1.867374540564110258e-02
4.499999999999999833e-02 1.095018530188224259e+00 1.864381021632557922e-02
4.599999999999999922e-02 1.072795113061066230e+00 1.815511490826448443e-02
4.700000000000000011e-02 1.080014547700251182e+00 1.778743043322902548e-02
4.800000000000000100e-02 1.053633031563924849e+00 1.750308326751841628e-02
4.899999999999999495e-02 9.992650411017094392e-01 1.745424666796037069e-02
5.000000000000000278e-02 9.854777373712619859e-01 1.717647628818959327e-02
5.200000000000000455e-02 9.485902896472870882e-01 1.192229218763143049e-02
5.400000000000000633e-02 9.204081844777166621e-01 1.156524094742248515e-02
5.600000000000000810e-02 8.627921467370028852e-01 1.162027066417257656e-02
5.800000000000000988e-02 8.617667169409304329e-01 1.181790905103138889e-02
6.000000000000001166e-02 8.042458992065155687e-01 1.169388009303117329e-02
6.200000000000001343e-02 7.864298572583519054e-01 1.129858294007805332e-02
6.400000000000001521e-02 7.533861444646506866e-01 1.090738444073184252e-02
6.600000000000001699e-02 7.280893028197525929e-01 1.067214735443144935e-02
6.800000000000001876e-02 6.907369698333237773e-01 1.041092228759868919e-02
7.000000000000002054e-02 6.656345692376217649e-01 1.024890864051965222e-02
7.200000000000002232e-02 6.286234839666587915e-01 1.000890720311059003e-02
7.400000000000002409e-02 6.157617531492468599e-01 1.007815624881793805e-02
7.600000000000002587e-02 5.933021977746758546e-01 9.972128458887377991e-03
7.800000000000002764e-02 5.717003877401890533e-01 9.669072103982408531e-03
8.000000000000002942e-02 5.492349406783209043e-01 9.770904464432112954e-03
8.200000000000003120e-02 5.256786938689846922e-01 9.843268517986064267e-03
8.400000000000003297e-02 5.115918587774969106e-01 9.766217927733265858e-03
8.600000000000003475e-02 4.887937084089634121e-01 9.427576993206433775e-03
8.800000000000003653e-02 4.733540914388866261e-01 9.366520259565131248e-03
9.000000000000003830e-02 4.525769327327412439e-01 9.453007599146285786e-03
9.200000000000004008e-02 4.364196287855205414e-01 9.410586604510875683e-03
9.400000000000004186e-02 4.270234889637725129e-01 9.308295981977998332e-03
9.600000000000004363e-02 4.080723279173629758e-01 9.292739475142895028e-03
9.800000000000004541e-02 3.968884032281554397e-01 9.260612487764795231e-03
1.000000000000000056e-01 3.785413220529031397e-01 9.232163265328035412e-03
1.050000000000000100e-01 3.496926463806854790e-01 5.727890907653372839e-03
1.100000000000000144e-01 3.259738339243749006e-01 5.618785954807011505e-03
1.150000000000000189e-01 2.984936933000453263e-01 5.514582266814710594e-03
1.200000000000000233e-01 2.696895983535430585e-01 5.405408398120858764e-03
1.250000000000000278e-01 2.473421509291444387e-01 5.380845739027503676e-03
1.300000000000000322e-01 2.275198591288276895e-01 5.537389774955174017e-03
1.350000000000000366e-01 2.065710070780925334e-01 5.346077777369563112e-03
1.400000000000000411e-01 1.875860556205282970e-01 5.236040341294669574e-03
1.450000000000000455e-01 1.769824406672588224e-01 5.140701315074313119e-03
1.500000000000000500e-01 1.653432330996202626e-01 5.177569774044294727e-03
1.550000000000000544e-01 1.565846640644949217e-01 5.320525714381958531e-03
1.600000000000000588e-01 1.368029039681323278e-01 5.372078056577540145e-03
1.650000000000000633e-01 1.365842656929795729e-01 5.385830826256163620e-03
1.700000000000000677e-01 1.232988193670854910e-01 5.437265365159642261e-03
1.750000000000000722e-01 1.089967693407432325e-01 5.434402787560101838e-03
