# q I sigma_shared_baseline
6.000000000000000125e-03 2.967409841536345017e+00 9.620521199590325034e-01
7.000000000000000146e-03 2.189068886993578378e+00 4.500572737577351323e-01
8.000000000000000167e-03 2.228586627468782222e+00 2.743831798973921376e-01
9.000000000000001055e-03 1.949325111367536056e+00 1.797219493394773271e-01
1.000000000000000021e-02 1.980071405530082540e+00 1.333431591788571402e-01
1.099999999999999936e-02 1.658401190773841183e+00 1.106007161231262470e-01
1.200000000000000025e-02 1.781552842431648243e+00 9.615123712072168316e-02
1.300000000000000114e-02 1.758750052032065359e+00 8.276102378090748057e-02
1.400000000000000203e-02 1.883003657204735282e+00 7.518089295900833025e-02
1.499999999999999944e-02 1.827504482554012766e+00 6.917749885565843693e-02
1.600000000000000033e-02 1.873258078313823072e+00 6.305233310199734320e-02
1.700000000000000122e-02 1.812310863697295327e+00 5.715000670460333027e-02
1.800000000000000211e-02 1.773092165710087986e+00 5.328851627866001972e-02
1.899999999999999953e-02 1.711584024519210656e+00 5.105061123002335027e-02
2.000000000000000042e-02 1.786440887924323428e+00 4.900841332749021617e-02
2.100000000000000130e-02 1.760455266284904230e+00 4.566776326704852229e-02
2.200000000000000219e-02 1.710422838845314653e+00 4.418699162104261502e-02
2.300000000000000308e-02 1.679104012344221797e+00 4.195039141228477236e-02
2.400000000000000050e-02 1.610246662326255018e+00 4.068595580636701070e-02
2.500000000000000139e-02 1.654261579633167223e+00 3.926637572140473376e-02
2.600000000000000228e-02 1.589157891126166122e+00 3.855898938395838083e-02
2.699999999999999969e-02 1.646737006459113584e+00 3.746337184411720200e-02
2.800000000000000058e-02 1.649181196336344080e+00 3.602800736107424767e-02
2.900000000000000147e-02 1.591345478714420114e+00 3.533063342067308682e-02
3.000000000000000236e-02 1.567783965967089799e+00 3.493580840550404576e-02
3.100000000000000325e-02 1.591834823250340758e+00 3.414515200843717263e-02
3.200000000000000067e-02 1.530632036798881046e+00 3.291954037268381150e-02
3.300000000000000155e-02 1.495604687076058203e+00 3.247579450248002514e-02
3.400000000000000244e-02 1.450549117686322775e+00 3.157513984997217110e-02
3.499999999999999639e-02 1.522404255537146422e+00 3.140402665346022498e-02
3.599999999999999728e-02 1.456314750491779719e+00 3.082248290455623374e-02
3.699999999999999817e-02 1.435649557356592165e+00 3.031288734041236513e-02
3.799999999999999906e-02 1.389593107995465759e+00 2.957354015499166419e-02
3.899999999999999994e-02 1.329238775493185809e+00 2.889829876455351360e-02
4.000000000000000083e-02 1.361885006297472778e+00 2.901319732036040933e-02
4.100000000000000172e-02 1.294440793433922599e+00 2.822433502254352231e-02
4.199999999999999567e-02 1.343478014153141720e+00 2.805395147504686007e-02
4.299999999999999656e-02 1.279262922364347022e+00 2.705707529632061376e-02
4.399999999999999745e-02 1.214566337369566540e+00 2.701193065740489091e-02
4.499999999999999833e-02 1.216529967543787727e+00 2.660684629309803886e-02
4.599999999999999922e-02 1.222416240434003765e+00 2.608493282383691700e-02
4.700000000000000011e-02 1.190561366172097291e+00 2.546425193579350890e-02
4.800000000000000100e-02 1.167870535636926999e+00 2.510046655563298590e-02
4.899999999999999495e-02 1.137365245341752651e+00 2.475823304466376329e-02
5.000000000000000278e-02 1.095093448798631686e+00 2.454812646747057264e-02
5.200000000000000455e-02 1.092776091451474141e+00 1.702441283683514203e-02
5.400000000000000633e-02 1.036728110981081308e+00 1.667472667135241199e-02
5.600000000000000810e-02 9.715574567083643531e-01 1.650979143164306093e-02
5.800000000000000988e-02 9.624204455059830465e-01 1.691670666669132378e-02
6.000000000000001166e-02 9.002860709230832148e-01 1.670876378642880550e-02
6.200000000000001343e-02 8.636750450043830796e-01 1.603242137138829668e-02
6.400000000000001521e-02 8.580466106061210851e-01 1.556176231297200056e-02
6.600000000000001699e-02 8.142809373799778649e-01 1.522962809362770654e-02
6.800000000000001876e-02 7.586464352786007614e-01 1.481176270644555225e-02
7.000000000000002054e-02 7.407473738207480674e-01 1.450529549744824717e-02
7.200000000000002232e-02 7.151154883036846543e-01 1.414964662268406413e-02
7.400000000000002409e-02 6.783903949458289784e-01 1.426260684015463048e-02
7.600000000000002587e-02 6.627125025122269086e-01 1.411273734126894039e-02
7.800000000000002764e-02 6.343628663073624940e-01 1.361652841172450966e-02
8.000000000000002942e-02 6.166752538600334121e-01 1.377681380313213431e-02
